Model_Num_Topics,Topic_Index,Topic_Terms
5,0,"0.048*""get"" + 0.046*""app"" + 0.025*""pay"" + 0.023*""advance"" + 0.021*""say"" + 0.015*""account"" + 0.013*""take"" + 0.011*""go"""
5,1,"0.030*""get"" + 0.027*""pay"" + 0.023*""money"" + 0.022*""app"" + 0.022*""advance"" + 0.020*""charge"" + 0.018*""need"" + 0.018*""time"""
5,2,"0.078*""app"" + 0.025*""money"" + 0.023*""get"" + 0.022*""use"" + 0.017*""work"" + 0.016*""try"" + 0.014*""cleo"" + 0.014*""good"""
5,3,"0.025*""get"" + 0.025*""account"" + 0.023*""app"" + 0.017*""one"" + 0.015*""help"" + 0.015*""time"" + 0.014*""transaction"" + 0.014*""need"""
5,4,"0.047*""app"" + 0.027*""get"" + 0.027*""pay"" + 0.021*""use"" + 0.021*""advance"" + 0.020*""subscription"" + 0.020*""account"" + 0.019*""money"""
6,0,"0.051*""get"" + 0.039*""app"" + 0.033*""pay"" + 0.023*""advance"" + 0.021*""say"" + 0.015*""account"" + 0.013*""use"" + 0.013*""bill"""
6,1,"0.034*""get"" + 0.029*""pay"" + 0.025*""money"" + 0.022*""app"" + 0.022*""charge"" + 0.018*""need"" + 0.018*""advance"" + 0.017*""fee"""
6,2,"0.081*""app"" + 0.025*""get"" + 0.024*""money"" + 0.023*""use"" + 0.017*""work"" + 0.017*""cleo"" + 0.016*""good"" + 0.014*""try"""
6,3,"0.031*""get"" + 0.029*""account"" + 0.021*""app"" + 0.018*""time"" + 0.017*""help"" + 0.015*""one"" + 0.015*""need"" + 0.014*""work"""
6,4,"0.040*""app"" + 0.030*""get"" + 0.027*""pay"" + 0.026*""advance"" + 0.022*""account"" + 0.020*""take"" + 0.019*""money"" + 0.018*""use"""
6,5,"0.052*""app"" + 0.015*""issue"" + 0.014*""use"" + 0.014*""get"" + 0.013*""try"" + 0.013*""pay"" + 0.013*""one"" + 0.012*""help"""
7,0,"0.055*""get"" + 0.036*""pay"" + 0.030*""advance"" + 0.027*""app"" + 0.026*""say"" + 0.021*""account"" + 0.014*""try"" + 0.013*""take"""
7,1,"0.033*""pay"" + 0.033*""get"" + 0.032*""charge"" + 0.030*""money"" + 0.020*""fee"" + 0.018*""cash_advance"" + 0.017*""need"" + 0.016*""advance"""
7,2,"0.059*""app"" + 0.031*""get"" + 0.028*""money"" + 0.026*""use"" + 0.019*""cleo"" + 0.018*""take"" + 0.017*""good"" + 0.017*""account"""
7,3,"0.036*""get"" + 0.027*""advance"" + 0.024*""time"" + 0.018*""account"" + 0.018*""help"" + 0.017*""pay"" + 0.016*""like"" + 0.015*""app"""
7,4,"0.038*""app"" + 0.031*""get"" + 0.028*""pay"" + 0.026*""advance"" + 0.022*""take"" + 0.021*""account"" + 0.020*""money"" + 0.019*""give"""
