Model_Num_Topics,Topic_Index,Topic_Terms
5,0,"0.042*""app"" + 0.021*""payment"" + 0.020*""balance"" + 0.017*""see"" + 0.016*""make"" + 0.016*""transaction"" + 0.015*""show"" + 0.015*""like"""
5,1,"0.096*""app"" + 0.045*""phone"" + 0.039*""use"" + 0.034*""update"" + 0.021*""bank"" + 0.020*""work"" + 0.018*""new"" + 0.015*""need"""
5,2,"0.043*""work"" + 0.032*""account"" + 0.032*""app"" + 0.028*""time"" + 0.025*""check"" + 0.019*""deposit"" + 0.017*""password"" + 0.015*""get"""
5,3,"0.037*""bank"" + 0.029*""account"" + 0.026*""get"" + 0.019*""money"" + 0.017*""card"" + 0.015*""bad"" + 0.014*""good"" + 0.012*""call"""
5,4,"0.094*""app"" + 0.029*""log"" + 0.026*""update"" + 0.026*""work"" + 0.021*""try"" + 0.020*""use"" + 0.018*""get"" + 0.017*""sign"""
6,0,"0.036*""app"" + 0.025*""payment"" + 0.022*""balance"" + 0.019*""pay"" + 0.018*""transaction"" + 0.018*""see"" + 0.016*""make"" + 0.015*""card"""
6,1,"0.092*""app"" + 0.043*""use"" + 0.034*""bank"" + 0.032*""phone"" + 0.017*""banking"" + 0.017*""good"" + 0.014*""easy"" + 0.014*""get"""
6,2,"0.046*""work"" + 0.033*""account"" + 0.030*""check"" + 0.028*""time"" + 0.025*""app"" + 0.023*""deposit"" + 0.015*""terrible"" + 0.014*""password"""
6,3,"0.038*""bank"" + 0.029*""account"" + 0.027*""get"" + 0.021*""money"" + 0.017*""card"" + 0.016*""bad"" + 0.014*""call"" + 0.012*""customer_service"""
6,4,"0.093*""app"" + 0.036*""log"" + 0.027*""try"" + 0.023*""work"" + 0.021*""use"" + 0.020*""sign"" + 0.020*""get"" + 0.017*""login"""
6,5,"0.095*""update"" + 0.082*""app"" + 0.028*""phone"" + 0.028*""work"" + 0.018*""use"" + 0.017*""say"" + 0.016*""need"" + 0.015*""new"""
7,0,"0.033*""app"" + 0.028*""payment"" + 0.026*""balance"" + 0.021*""transaction"" + 0.018*""pay"" + 0.018*""see"" + 0.017*""show"" + 0.016*""make"""
7,1,"0.076*""app"" + 0.047*""bank"" + 0.043*""use"" + 0.035*""good"" + 0.018*""easy"" + 0.017*""banking"" + 0.017*""well"" + 0.011*""phone"""
7,2,"0.051*""work"" + 0.037*""account"" + 0.030*""time"" + 0.029*""check"" + 0.027*""app"" + 0.021*""deposit"" + 0.017*""password"" + 0.013*""never"""
7,3,"0.035*""bank"" + 0.031*""account"" + 0.027*""get"" + 0.022*""money"" + 0.020*""card"" + 0.015*""bad"" + 0.014*""call"" + 0.013*""pay"""
7,4,"0.088*""app"" + 0.041*""log"" + 0.029*""try"" + 0.024*""work"" + 0.023*""use"" + 0.020*""sign"" + 0.020*""get"" + 0.019*""login"""
7,5,"0.098*""update"" + 0.087*""app"" + 0.039*""phone"" + 0.031*""work"" + 0.023*""use"" + 0.021*""new"" + 0.017*""say"" + 0.016*""need"""
7,6,"0.083*""app"" + 0.041*""open"" + 0.023*""phone"" + 0.021*""account"" + 0.020*""get"" + 0.018*""suck"" + 0.014*""want"" + 0.011*""notification"""
8,0,"0.039*""app"" + 0.030*""balance"" + 0.024*""payment"" + 0.023*""see"" + 0.022*""transaction"" + 0.021*""account"" + 0.020*""show"" + 0.016*""make"""
8,1,"0.085*""app"" + 0.038*""bank"" + 0.038*""use"" + 0.023*""well"" + 0.023*""good"" + 0.017*""work"" + 0.016*""banking"" + 0.016*""phone"""
8,2,"0.052*""work"" + 0.032*""app"" + 0.032*""time"" + 0.031*""account"" + 0.024*""password"" + 0.021*""check"" + 0.019*""log"" + 0.016*""get"""
8,3,"0.054*""bank"" + 0.038*""account"" + 0.027*""get"" + 0.023*""bad"" + 0.015*""money"" + 0.015*""call"" + 0.014*""customer_service"" + 0.013*""good"""
8,4,"0.090*""app"" + 0.042*""log"" + 0.029*""try"" + 0.023*""work"" + 0.023*""use"" + 0.022*""sign"" + 0.020*""login"" + 0.020*""get"""
8,5,"0.095*""update"" + 0.088*""app"" + 0.040*""phone"" + 0.028*""work"" + 0.024*""use"" + 0.020*""new"" + 0.018*""say"" + 0.018*""need"""
8,6,"0.107*""app"" + 0.052*""open"" + 0.028*""suck"" + 0.017*""account"" + 0.017*""phone"" + 0.015*""want"" + 0.014*""get"" + 0.013*""even"""
8,7,"0.024*""use"" + 0.024*""pay"" + 0.024*""card"" + 0.020*""money"" + 0.019*""get"" + 0.018*""payment"" + 0.016*""send"" + 0.016*""zelle"""
9,0,"0.050*""app"" + 0.027*""balance"" + 0.026*""transaction"" + 0.025*""see"" + 0.021*""account"" + 0.019*""show"" + 0.016*""need"" + 0.015*""like"""
9,1,"0.078*""app"" + 0.048*""use"" + 0.040*""bank"" + 0.023*""phone"" + 0.018*""well"" + 0.018*""easy"" + 0.017*""banking"" + 0.014*""make"""
9,2,"0.061*""work"" + 0.038*""app"" + 0.032*""account"" + 0.031*""time"" + 0.029*""check"" + 0.026*""password"" + 0.021*""deposit"" + 0.018*""log"""
9,3,"0.060*""bank"" + 0.043*""account"" + 0.028*""get"" + 0.025*""bad"" + 0.018*""money"" + 0.015*""call"" + 0.014*""customer_service"" + 0.012*""close"""
9,4,"0.092*""app"" + 0.042*""log"" + 0.029*""try"" + 0.022*""use"" + 0.021*""work"" + 0.021*""sign"" + 0.020*""login"" + 0.019*""get"""
9,5,"0.103*""update"" + 0.085*""app"" + 0.033*""phone"" + 0.030*""work"" + 0.023*""use"" + 0.018*""need"" + 0.017*""new"" + 0.016*""say"""
9,6,"0.119*""app"" + 0.052*""open"" + 0.051*""good"" + 0.029*""phone"" + 0.026*""suck"" + 0.019*""get"" + 0.018*""work"" + 0.015*""use"""
9,7,"0.032*""zelle"" + 0.032*""send"" + 0.022*""money"" + 0.017*""use"" + 0.012*""app"" + 0.010*""want"" + 0.009*""get"" + 0.009*""issue"""
9,8,"0.046*""pay"" + 0.044*""payment"" + 0.038*""card"" + 0.025*""take"" + 0.024*""credit_card"" + 0.020*""day"" + 0.019*""get"" + 0.016*""use"""
10,0,"0.053*""app"" + 0.029*""transaction"" + 0.027*""balance"" + 0.024*""see"" + 0.021*""show"" + 0.020*""account"" + 0.016*""need"" + 0.016*""like"""
10,1,"0.072*""app"" + 0.069*""bank"" + 0.028*""use"" + 0.023*""banking"" + 0.020*""get"" + 0.017*""well"" + 0.016*""work"" + 0.013*""account"""
10,2,"0.072*""work"" + 0.041*""app"" + 0.031*""time"" + 0.031*""check"" + 0.029*""password"" + 0.026*""account"" + 0.023*""deposit"" + 0.020*""log"""
10,3,"0.052*""bank"" + 0.044*""account"" + 0.026*""get"" + 0.026*""bad"" + 0.023*""good"" + 0.021*""money"" + 0.014*""call"" + 0.013*""customer_service"""
10,4,"0.087*""app"" + 0.047*""log"" + 0.034*""try"" + 0.024*""get"" + 0.023*""sign"" + 0.022*""work"" + 0.021*""use"" + 0.019*""time"""
10,5,"0.053*""app"" + 0.029*""great"" + 0.022*""service"" + 0.021*""work"" + 0.021*""login"" + 0.014*""security"" + 0.010*""unavailable"" + 0.010*""time"""
10,6,"0.105*""app"" + 0.057*""open"" + 0.028*""phone"" + 0.027*""account"" + 0.023*""suck"" + 0.016*""get"" + 0.015*""want"" + 0.013*""download"""
10,7,"0.040*""use"" + 0.037*""zelle"" + 0.031*""send"" + 0.030*""easy"" + 0.025*""app"" + 0.016*""terrible"" + 0.016*""money"" + 0.015*""get"""
10,8,"0.049*""pay"" + 0.044*""payment"" + 0.044*""card"" + 0.026*""credit_card"" + 0.020*""take"" + 0.019*""get"" + 0.016*""charge"" + 0.016*""day"""
10,9,"0.116*""update"" + 0.099*""app"" + 0.048*""phone"" + 0.034*""use"" + 0.028*""new"" + 0.023*""work"" + 0.016*""say"" + 0.013*""need"""
11,0,"0.075*""app"" + 0.023*""balance"" + 0.023*""transaction"" + 0.019*""need"" + 0.018*""see"" + 0.017*""use"" + 0.017*""feature"" + 0.017*""like"""
11,1,"0.085*""app"" + 0.083*""phone"" + 0.037*""use"" + 0.027*""bank"" + 0.026*""work"" + 0.023*""new"" + 0.019*""old"" + 0.016*""check"""
11,2,"0.066*""work"" + 0.045*""app"" + 0.039*""time"" + 0.037*""account"" + 0.031*""password"" + 0.028*""log"" + 0.019*""never"" + 0.016*""get"""
11,3,"0.071*""bank"" + 0.045*""account"" + 0.031*""bad"" + 0.023*""money"" + 0.022*""get"" + 0.014*""ever"" + 0.013*""close"" + 0.013*""customer_service"""
11,4,"0.087*""app"" + 0.045*""log"" + 0.032*""try"" + 0.025*""sign"" + 0.025*""get"" + 0.024*""use"" + 0.020*""login"" + 0.018*""work"""
11,5,"0.063*""app"" + 0.034*""work"" + 0.030*""issue"" + 0.028*""fix"" + 0.025*""great"" + 0.023*""problem"" + 0.017*""service"" + 0.013*""time"""
11,6,"0.106*""app"" + 0.069*""good"" + 0.052*""open"" + 0.031*""suck"" + 0.020*""account"" + 0.016*""want"" + 0.015*""get"" + 0.011*""banking"""
11,7,"0.043*""zelle"" + 0.035*""send"" + 0.025*""terrible"" + 0.022*""app"" + 0.021*""use"" + 0.019*""get"" + 0.018*""money"" + 0.015*""call"""
11,8,"0.051*""payment"" + 0.042*""pay"" + 0.025*""credit_card"" + 0.023*""take"" + 0.022*""use"" + 0.020*""make"" + 0.019*""card"" + 0.017*""get"""
11,9,"0.148*""update"" + 0.097*""app"" + 0.026*""use"" + 0.017*""new"" + 0.016*""work"" + 0.013*""still"" + 0.013*""need"" + 0.011*""say"""
11,10,"0.052*""card"" + 0.026*""get"" + 0.017*""account"" + 0.014*""well"" + 0.014*""much"" + 0.014*""use"" + 0.013*""bank"" + 0.013*""pay"""
12,0,"0.067*""app"" + 0.036*""balance"" + 0.034*""transaction"" + 0.026*""see"" + 0.024*""show"" + 0.015*""need"" + 0.015*""feature"" + 0.015*""often"""
12,1,"0.095*""app"" + 0.087*""phone"" + 0.043*""use"" + 0.031*""bank"" + 0.027*""work"" + 0.025*""new"" + 0.021*""old"" + 0.019*""year"""
12,2,"0.081*""work"" + 0.051*""app"" + 0.035*""password"" + 0.032*""time"" + 0.030*""log"" + 0.020*""always"" + 0.016*""never"" + 0.015*""get"""
