Topic,Count,Name,Representation,Representative_Docs,Top Keywords
-1,4712,-1_biometric_fingerprint_balance_sign,"['biometric', 'fingerprint', 'balance', 'sign', 'transaction', 'add', 'payment', 'see', 'password', 'credit']","['recently let sign completely useless clear datum restart instal every option ask login send code give say login right', 'since update pay credit card bill fingerprint keep get password horrible update rep try everything make work still pay credit card bill online please fix', 'hate customer service company help help least helpful customer friendly app company edit tell password reset security code damn slow wait get security code move life literally come late one use incorrect take way long take money make app user friendly accessible fast want call anyone']",Outliers
0,186,0_good_fair_fubctional_chime,"['good', 'fair', 'fubctional', 'chime', 'finish', 'suppose', 'enough', 'well', 'thank', '']","['Good', 'good', 'good']","good, fair, fubctional, chime, finish, suppose, enough, well, thank, "
1,138,1_suck_sucks_hate_confusing,"['suck', 'sucks', 'hate', 'confusing', 'hell', 'care', 'happen', 'past', 'get', '']","['suck', 'suck', 'suck']","suck, sucks, hate, confusing, hell, care, happen, past, get, "
2,120,2_grapheneo_work_tin_airways,"['grapheneo', 'work', 'tin', 'airways', 'maybe', 'say', '', '', '', '']","['work grapheneo', 'work grapheneo', 'work grapheneo']","grapheneo, work, tin, airways, maybe, say, , , , "
3,112,3_notification_push_alert_notify,"['notification', 'push', 'alert', 'notify', 'disable', 'papercut', 'oversight', 'command', 'friggin', 'crapital']","['change mobile device get alert push notification like get support fix issue', 'change mobile device get alert push notification like get support fix issue', 'push notification text notification long work fix']","notification, push, alert, notify, disable, papercut, oversight, command, friggin, crapital"
4,91,4_interest_amex_flight_exclusive,"['interest', 'amex', 'flight', 'exclusive', 'hotel', 'flex', 'earn', 'citibank', 'reduced', 'citicard']","['app Citicard behind really really really suck almost year simply tired stupid benefit change policy keep always behind real good card level free bagage exclusive airport lounge ticket upgrade really want perk good bite bullet get Amex well yet save hard earn money pay cash thing really need feel like buy', 'app Citicard behind really really really suck almost year simply tired stupid benefit change policy keep always behind real good card level free bagage exclusive airport lounge ticket upgrade really want perk good bite bullet get Amex well yet save hard earn money pay cash thing really need feel like buy', 'app Citicard behind really really really suck almost year simply tired stupid benefit change policy keep always behind real good card level free bagage exclusive airport lounge ticket upgrade really want perk good bite bullet get Amex well yet save hard earn money pay cash thing really need feel like buy']","interest, amex, flight, exclusive, hotel, flex, earn, citibank, reduced, citicard"
5,89,5_friendly_user_unfriendly_operator,"['friendly', 'user', 'unfriendly', 'operator', 'interactive', 'precaution', 'fair', 'absolutely', 'readily', 'intrusive']","['user friendly', 'user friendly', 'user friendly']","friendly, user, unfriendly, operator, interactive, precaution, fair, absolutely, readily, intrusive"
6,87,6_overlapped_gotten_prohibit_log,"['overlapped', 'gotten', 'prohibit', 'log', 'majority', 'idle', 'window', 'bug', 'technical', 'equivalent']","['even log log screen overlapped allow click sign button', 'gotten bad many technical issue prohibit log', 'gotten bad many technical issue prohibit log']","overlapped, gotten, prohibit, log, majority, idle, window, bug, technical, equivalent"
7,83,7_insurance_premium_vehicle_claim,"['insurance', 'premium', 'vehicle', 'claim', 'adjuster', 'usaa', 'policy', 'quote', 'homeowner', 'coverage']","['USAA become real disappointment insure USAA year accident fault USAA total vehicle without even send adjuster look service tell settlement nowhere near enough replace vehicle one like value long company service customer seem willing accept premium payout claim file Boo USAA', 'USAA become real disappointment insure USAA year accident fault USAA total vehicle without even send adjuster look service tell settlement nowhere near enough replace vehicle one like value long company service customer seem willing accept premium payout claim file Boo USAA', 'USAA become real disappointment insure USAA year accident fault USAA total vehicle without even send adjuster look service tell settlement nowhere near enough replace vehicle one like value long company service customer seem willing accept premium payout claim file Boo USAA']","insurance, premium, vehicle, claim, adjuster, usaa, policy, quote, homeowner, coverage"
8,81,8_grace_employee_overnight_temporary,"['grace', 'employee', 'overnight', 'temporary', 'criminal', 'pcs', 'funny', 'world', 'percent', 'dept']","['world fill predatory bank Wells Fargo downright criminal enterprise Google legal settlement agree base abhorrent behavior pay new employee direct deposit employee accidentally provide incorrect checking route number Wells Fargo refuse return fund deposit someone else account erroneously', 'world fill predatory bank Wells Fargo downright criminal enterprise Google legal settlement agree base abhorrent behavior pay new employee direct deposit employee accidentally provide incorrect checking route number Wells Fargo refuse return fund deposit someone else account erroneously', 'world fill predatory bank Wells Fargo downright criminal enterprise Google legal settlement agree base abhorrent behavior pay new employee direct deposit employee accidentally provide incorrect checking route number Wells Fargo refuse return fund deposit someone else account erroneously']","grace, employee, overnight, temporary, criminal, pcs, funny, world, percent, dept"
9,77,9_woman_log_worry_clea,"['woman', 'log', 'worry', 'clea', 'quitel', 'member', 'next', 'bring', 'connect', 'simply']","['completely useless would log would security problem would call get everything reset next time log thing get phone woman actually tell could help point bring member help', 'completely useless would log would security problem would call get everything reset next time log thing get phone woman actually tell could help point bring member help', 'completely useless would log would security problem would call get everything reset next time log thing get phone woman actually tell could help point bring member help']","woman, log, worry, clea, quitel, member, next, bring, connect, simply"
10,75,10_widget_quick_folder_glance,"['widget', 'quick', 'folder', 'glance', 'bring', 'home', 'cocaine', 'launcher', 'flair', 'broken']","['late update break balance widget', 'widget show account balance without log work week', 'widget suck App great']","widget, quick, folder, glance, bring, home, cocaine, launcher, flair, broken"
11,75,11_slow_smoothly_unnecesary_interrupt,"['slow', 'smoothly', 'unnecesary', 'interrupt', 'dam', 'antiquated', 'verfification', 'forver', 'takes', 'performance']","['app scroll smoothly anymore need update high refresh rate app even home page phone run super smooth ultra', 'app scroll smoothly anymore need update high refresh rate app even home page phone run super smooth ultra', 'app scroll smoothly anymore need update high refresh rate app even home page phone run super smooth ultra']","slow, smoothly, unnecesary, interrupt, dam, antiquated, verfification, forver, takes, performance"
12,74,12_biometric_screwy_enrolling_peculiarity,"['biometric', 'screwy', 'enrolling', 'peculiarity', 'enroll', 'beat', 'userid', 'periodically', 'iphone', 'manager']","['maybe biometric app really screwy lately open phone fingerprint app use Samsung iPhone issue Samsung', 'maybe biometric app really screwy lately open phone fingerprint app use Samsung iPhone issue Samsung', 'maybe biometric app really screwy lately open phone fingerprint app use Samsung iPhone issue Samsung']","biometric, screwy, enrolling, peculiarity, enroll, beat, userid, periodically, iphone, manager"
13,72,13_spam_commercial_messaging_instant,"['spam', 'commercial', 'messaging', 'instant', 'csmpatible', 'bsthis', 'sport', 'pleasure', 'outdate', 'inferior']","['app csmpatible phone long see acct online erase update reminder everytime use phone make stop buy new phone change bank BSthis digital internet rape shut notification phone compatible yet keep get update alert total send receive text without interrupt check sport score intrusive commercial ever SPAM SPAM SPAM report', 'app csmpatible phone long see acct online erase update reminder everytime use phone make stop buy new phone change bank BSthis digital internet rape shut notification phone compatible yet keep get update alert total send receive text without interrupt check sport score intrusive commercial ever SPAM SPAM SPAM report', 'app csmpatible phone long see acct online erase update reminder everytime use phone make stop buy new phone change bank BSthis digital internet rape shut notification phone compatible yet keep get update alert total send receive text without interrupt check sport score intrusive commercial ever SPAM SPAM SPAM report']","spam, commercial, messaging, instant, csmpatible, bsthis, sport, pleasure, outdate, inferior"
14,70,14_download_fastretit_gibe_engine,"['download', 'fastretit', 'gibe', 'engine', 'false', 'instal', 'playstore', 'search', 'icon', 'cool']","['download app', 'App download', 'DOWNLOAD APP']","download, fastretit, gibe, engine, false, instal, playstore, search, icon, cool"
15,69,15_yuck_horrible_horrific_,"['yuck', 'horrible', 'horrific', '', '', '', '', '', '', '']","['yuck', 'yuck', 'yuck']","yuck, horrible, horrific, , , , , , , "
16,68,16_spending_distribution_transaction_capitol,"['spending', 'distribution', 'transaction', 'capitol', 'track', 'history', 'bucket', 'manual', 'entry', 'busniess']","['spending bucket complete mess especially Android user simple task give user control distribution bucket account similar savings bucket auto distribution manual entry even manual entry hit enter enter button optimize Android cover bottom screen create spending account rent whole work around', 'spending bucket complete mess especially Android user simple task give user control distribution bucket account similar savings bucket auto distribution manual entry even manual entry hit enter enter button optimize Android cover bottom screen create spending account rent whole work around', 'spending bucket complete mess especially Android user simple task give user control distribution bucket account similar savings bucket auto distribution manual entry even manual entry hit enter enter button optimize Android cover bottom screen create spending account rent whole work around']","spending, distribution, transaction, capitol, track, history, bucket, manual, entry, busniess"
17,68,17_navigate_navigation_hard_book,"['navigate', 'navigation', 'hard', 'book', 'cumbersome', 'nav', 'portal', 'awkward', 'hole', 'difficult']","['hard navigate', 'hard navigate', 'hard navigate']","navigate, navigation, hard, book, cumbersome, nav, portal, awkward, hole, difficult"
