Review,Date,Stars
started crashing on startup a while back. now I have to uninstall and reinstall in order to open it; not sure if that's even working anymore,2025-05-23,1
Latest update broke the app... crashes immediately upon logging in...,2025-05-23,1
"everytime I try to log in, it says your account is inaccessible at this time. but I can log in to my account from a web browser.",2025-05-22,1
Still force closes after latest update. Is there a negative star rating?,2025-05-21,1
"the last update broke the app. it now immediately crashes up opening it. I've restarted my phone, cleared the apps data and cache and even reinstalled it. nothing works. On a OnePlus 8T. edit: it was definitely the update. after downgrading the app version from 25.6.0 to 25.5.0, the app worked again. edit 2: the app is now forcing me to update to log in, even though the app still won't open after the update. would give 0 stars is possible at this point",2025-05-20,1
Runs extremely slow when logging in,2025-05-19,1
This app takes forever to load my accounts. so I uninstalled it and reinstalled it. now it says my user id no longer meets their security requirements. Now I can't seem to use this mobile app anymore.,2025-05-19,1
"the app doesn't work, it crashes",2025-05-19,1
problems with logging in and now it doesn't recognize the amount of a check. it's a pretty tight check and this dumb app still gives me problems. Also occasionally rejects checks because it thinks I've already deposited them when I haven't. Needs to be tweaked.,2025-05-18,1
"2025 update : still worst app in existence. --- Honestly awful, I consistently have issues logging in, never have been able to use all the features like zelle, and end up having to reset passwords even when typing them in correct and being locked out of my account consistently. The opposite of convenient. update: still worst banking app ever",2025-05-15,1
Used to be great. Small improvement but it crashes when trying to make bill payments. Account transfer feature is working again.App is basically useless now except for remote deposits,2025-05-15,1
"App needs to be able to search check numbers. Also, be able to view who sends you a wire or a deposit not having to log in and download a file to see which busniess sent a deposit",2025-05-14,1
Haven't been able to see credit card statements for the past 2 years.,2025-05-13,1
"Fix this nonsense already. what's the point in using this bank of I can't use the app? Don't bother replying, telling me to contact anyone to do anything g. I don't work for you, you work for me.",2025-05-11,1
terrible,2025-05-11,1
Can no longer see any of my accounts when I am logged in. It has been this way for a few months now.,2025-05-10,1
Citizens bank is horrible. Customer support is horrible. The protocols and the number of hoops to jump through to do a simple thing are ridiculous and possibly offensive to my intelligence. EDIT: Citizens bank might be the absolute worst bank I have ever dealt with. Citizens couldn't even get me a new debit card in 3-5 on time. DO NOT BANK WITH CITIZENS.,2025-05-09,1
doesn't work at all,2025-05-06,1
horrible app since the update it doesn't work at all anymore,2025-05-04,1
cannot log in!!,2025-05-03,1
"Won't even start app, crashes instantly. I purposely don't update my apps cause stuff like this",2025-05-03,1
worst bank ever,2025-05-03,1
The app is always down and really have had more problems banking with these people.,2025-05-01,1
had no issues for a long time. Then when we tried to sign on it said our user name didn't meet criteria. We changed it and still no luck. Customer service was no help at all.,2025-05-01,1
It keeps locking me out of my account and saying I have to reset my password.,2025-04-30,1
This app is horrible. I think a bank should have the money to hire someone to develop a good product. The quality of this app is inexcusable. I gave it one star because I couldn't give it a zero star.,2025-04-29,1
horrible. constantly telling me to update my App but then tells me to get rid of other Apps cause there is no room. Give me a break. You close our local branch then do this to me so I can't deposit my checks for my business.,2025-04-29,1
"Worked until the last update. Crashes immediately on launch (Google Pixel 7). Already tried reinstalling. Update: For those affected, persistently attempting to open the app will cause it to eventually work. Usually five launches are needed.",2025-04-29,1
can not mobile deposit. very frustrating,2025-04-28,1
"Recent update causes app to not launch at all, just crashes at splash screen.",2025-04-23,1
able to login just fine but need to do a dispute told can't chat must call. have speech issue then told repeat myself over and over and verify my identity over 5 different ways. doesn't suck have issue talking then be totally given a hard time just to get u off the phone by someone.,2025-04-22,1
"Terrible app. I can never log in, even after customer support helps me reset my username and password",2025-04-21,1
I have used this app for many years now. in judging by the recent reviews a lot of people are having the same issue as I am. I woke up one day and went to check my bank account in the app doesn't even open anymore. doesn't say this app no longer functions of the phone or anything like that. no message no nothing. I uninstalled the app installed it again it did nothing. this is very disappointing. I'm on an Android device.,2025-04-21,1
currently completely unusable. trying to open the app and it in instantly crashes.,2025-04-21,1
"Used to be great...now won't work on my Android phone, and only way I know of to make mobile deposits. Grrr",2025-04-20,1
got a fraud alert on my card an hour away from me( which is me) and now they won't answer so I can fix it,2025-04-19,1
It was good until the recent update where it won't let me log into the app.,2025-04-18,1
barely works,2025-04-18,1
i told him to wait on hold so we can figure it out and he couldn't even stay on the phone for 5 minutes terrible work 👎👎👎👎👎👎👎👎,2025-04-17,1
impossible to use,2025-04-16,1
I cannot update the new app because my phone won't allow new apps. Why can't Citizens leave well enough alone? everything was working just fine.,2025-04-16,1
terrible,2025-04-16,1
I fail to scan my face and fingerprint and it locks my account forcing me to change my password.,2025-04-14,1
"Can't pay bill, Error: the date isn't valid (even though the app prefilled this field for me). I called the number provided by the app and couldn't get help. they couldn't pull up my account when I provided my debit and checking number then insisted on wanting my full social security number. I refused to give my SSN to a stranger over the phone. I've never experienced this issue in all the years of using online bill pay.",2025-04-14,1
"Got a new phone, downloaded the app but can't log into it!? I'll just keep using the website I guess. All this time I thought my old phone was the problem, seems I was wrong!",2025-04-14,1
Not working since update,2025-04-13,1
I have trouble with on line password change requests,2025-04-12,1
Not working on the app....online payments of mortgage does not load or work....can't pay bill. APP IS NOT WORKING!!!!!!!,2025-04-12,1
"I'm locked out of my account and can't get back in. tried everything and am talking to customer service now and he can't help.,",2025-04-11,1
Glitchy app so often can't loggin. And the bank itself only offers one overdraft free refund per year. Chase Bank offers few . HSBC sold my account to Citizens and I'm not happy. I'll be leaving the bank.,2025-04-11,1
app keeps force closing on android 13?,2025-04-11,1
"Can't make transfers in app, it just logs me out. Unfixed for months.",2025-04-10,1
unable to update. phone is to old,2025-04-10,1
"there are login issues through browser, and I am unable to view any of my documents in the app. it pulls up a plain white screen",2025-04-10,1
"started out really good, but all of a sudden, one day to the next, one can no longer use the mobile app to make payments or do anything online for your account. not even to log on. what good is having the app to only have an app🤷🏼‍♀️? I can't even look at my account, and I'm told that my login doesn't meet their requirements when, in fact, I use my pc, that exact same login works just fine.",2025-04-10,1
makes me update it too often,2025-04-08,1
another bad use of app update. I. can't use in my phone. Now I have to go to the bank to check my account. I am old person with disabilities thanks Citizens to make my life worse.,2025-04-08,1
"very predatory, lots of ""im sorry"" while still taking your money in excessive fees. don't bank with this organization. there are better banks out here.",2025-04-08,1
EVERY TIME I TRY to use it.. mobile app not available at this moment please try again later.. UPDATE... a year later.. still have same problems.. and its always on Friday when you need your money... u can't give 0 🌟's or i would.. app sucks.. just go to a new bank,2025-04-08,1
always slow,2025-04-07,1
does not let you change phone or email easily.god forbid you change it.,2025-04-05,1
"never works, always an issue logging in. app down all the time. you think something is wrong, but it's the bank",2025-04-05,1
sucks nothing but problems the last few days. can't get on my account. got online support said everything is fine. all else on my phone works great,2025-04-04,1
I SHOULDN'T HAVE TO UPDATE EVERY WEEK,2025-04-04,1
"I was told that I needed a phone upgrade do to my phone was out of date to support the app. Well, I have a new phone and still cannot use the app. this is really frustrating",2025-04-03,1
Does anybody remember dial up internet? That's all I can say with the latest update!,2025-04-03,1
This app has been great until it won't let me login anymore. I reset my password twice and it still says they can't find my account. I will be using the computer from now on.,2025-04-01,1
nothing works. can't view tax documents from app. Everytime I rely on this app it lets me down or isn't working.,2025-04-01,1
"this app SUCKS. always down for maintenance so cant even check my account half the time to see my own money. and they're always locking my account through the app if I use my card more than twice in a day, forcing me to reset my password constantly. i also constantly have to go through google and go to the citizens website just to be able to log in. this app sucks and they seriously need to fix it.",2025-04-01,1
The app worked great until recently. Now it crashes when I try to review activity or try to make a payment.,2025-03-30,1
"**Update** I don't know what's going on woth this company. I've been locked out of the app 7 times in a day. trying to zelle money, transfer funds...anytime I go to log in, I'm told I'm locked out and have to re set my password...even though I use thumbprint... ridiculous",2025-03-28,1
"poor updating, same image for several check deposits.",2025-03-28,1
"Horrible app, you sign in with your account info, then i try to make a payment and set-up payment info and it goes to a browser, that i have to sign in for again!",2025-03-28,1
"Just freshly downloaded this app and it's terrible! Will not let me sign up or proceed to any help pages for assistance. Will not pass the ""An unexpected error occurred..."" I've tried several times to no avail. Very frustrating and I don't recommend this app until the massive bugs are worked out!! Uninstalling......",2025-03-24,1
nah,2025-03-23,1
This app is just absolutely useless. Constantly locks me out of my account and requires a password reset.,2025-03-23,1
I am unable to log into my account. It has a prompt that says it should work if I try again. I have tried so many times and still nothing.,2025-03-21,1
"I can't use this at all. it will not allow me to log in, it only prompts me to repeatedly reset my password.",2025-03-19,1
"Their Help section says if we suspect a fraudulent transaction we can select it on the app and begin the dispute process. But when we click on it, it only shows details of it. There is no way to dispute it. Not good.",2025-03-19,1
Please stop sending me an email survey about my app experience Everytime I open the app!,2025-03-19,1
"the app has been broken for the past week or two. doesnt let me log in, and the website hasnt been working either",2025-03-18,1
"I always have a problem with mobile deposits. I often get cashiers checks drawn from Citizens bank themselves and I always get an error stating they can't read it. First off, it's typed by your bank, second the amount is easily read, third all criteria the mobile app asks for are met. It causes many problems because unfortunately I don't live near a Citizens. So I'm going to close my account and go to a bank that's closer because this app is just an inconvenience that causes unneeded stress.",2025-03-17,1
Where's the negative star option???,2025-03-15,1
if my device isn't compatible then there should be another app that is.,2025-03-15,1
It is impossible to work normally with the application because the login is blocked every day. Why??? I am not allowed to log in to my account multiple times??,2025-03-14,1
App stopped working on Android. Any updates to fix Citizens Bank?!,2025-03-11,1
"This app is slow with updates and it's very frustrating. I'm constantly questioning my funds bc they're not accurately documented on a day to day basis. Also, you need to go back to having live support!! The generic AI thing does ABSOLUTELY NOTHING to help!! It's a waste of time! We already know the phone number, thanks but no thanks there.",2025-03-10,1
"If I could give it a worse rating I absolutely would. This is probably the worst app i have ever used in my life. This is a horribly made app. You get locked out for no reason and no one picks up support calls. I have been locked out of the app for 2 days in a row when I need the money all while they just give the message ""Sorry, we're working hard to fix it!"" Not good enough.",2025-03-10,1
I Can't do anything on this app. Put the old one back up!!!!why fix it if it wasn't broke!!! Now it's broke!!!!,2025-03-09,1
Doesn't work,2025-03-09,1
"Un-installed within 5 minutes. No way to pay my mortgage without opening a checking account with Citizens??? Thanks, I'll stick to the web version for the once a month I need it.",2025-03-07,1
"While trying to cash my tax check, they not only held the funds but also chose to freeze my whole account without emailing me, and the only reason I found out was because I called. They said they would send something in the mail explaining why I have not received this yet, but on calling again was notified, they extended the review on my account 2 weeks out. If you like having easy access to your money don't pick citizens",2025-03-06,1
Stuck in an infinite log in loop that eventually locks me out of my account and forces me to change my password. Extremely frustrating.,2025-03-06,1
Horrible!!! Always down and too many steps just to see your own account.,2025-03-05,1
I can't login,2025-03-04,1
Doesn't work can't log in have to get automated code. Terrible app,2025-03-03,1
Will not let me in my account on app. Wants to call with code. Call never comes through,2025-03-03,1
"I've used this app since opening my account, now for some reason for the last week or two I cannot log in to the app , it just does the loading circle forever. I try the website but it's just not the same, as easy and when I'm trying to make my credit card payments it keeps putting me through to the transfer funds page. SO FRUSTRATING!!! PLEASE FIX THIS!!! 😖😠😖",2025-03-01,1
"Whenever I go to the document center to download my tax statements, I get a blank screen. This isn't just a worthless document I'm keeping for my records. I need this for my taxes. This is important. What now?",2025-03-01,1
"Mobile deposit hasn't been working for a few days. For business purposes, I need to hold on to my checks so this was the best way for me to go about it. This needs to be fixed ASAP.",2025-03-01,1
"I've had this app for about 8 years. You it's been good up till now I would have gave it five stars. But now at least twice a week it locks profile or account. It forces me to change my password. Three times in one day the other day. If you want to install the app and reinstall it, it will let you use the same password but I'm literally doing this every couple days",2025-03-01,1
"The app constantly tells me my account is ""locked"" for security and I need reset my password or my user id needs to be changed and even after doing so it will generate the same errors. Ican sign into the actual website with no problem using my ""insecure"" user id with 0 mention of needing to change it.",2025-02-27,1
"App refuses my user name, the desktop version, has no issue with my username. To make it suck even,more there's no way to change your username. I give this app 5 gaslights and a big thumbs down for trying to push a Beta version of the shittiest banking app out there. Maybe get the old thing to at least function, before you harp about a Beta version. No one wants the beta version of an app that is broke off and worthless. Not a good marketing decision, not a good app, just start over",2025-02-26,1
This app was great but once they did the latest update I cannot log in on my android. I have tried uninstalling and reinstalling several times and talked to customer service (in Mexico City) after a very lengthy hold time. I was told the issue was on their end with Android phones and would be fixed within a couple hours. It is now a week later and still not fixed. As of November 2023...STILL NOT WORKING ON ANDROIDS!!! Fixed finally!!! 1/6/2024!!!,2025-02-26,1
"Must reset password every time in order to access my account. Get error that my account is not available, which prompts me to reset password. Both app and through web browser",2025-02-24,1
Doesn't work anymore. Can't use fingerprint and will lock you out of account and you'll have to reset password,2025-02-24,1
Online depositing isn't accessible,2025-02-24,1
I have been unable to log in to my account for several weeks and keep getting an error message saying that my account is inaccessible and to try again later.,2025-02-22,1
Useless app,2025-02-22,1
"Citizen reminding me why I don't trust banks to begin with. Checked my account to see what I had and it's in the negative. I absolutely did not overdraw and now I have a $35 on top of it. I am absolutely sick of banks scamming people. After they fix my account, I will no longer be a banking customer. Absolutely ridiculous. This is what's wrong with the world. Greedy companies taking advantage of their customers and employees. Im completely over it. I'll keep my money somewhere else.",2025-02-21,1
Loading and spinning ever since the last update. This app is about useless now.,2025-02-20,1
It always glitches. And it forces you to use a code sent to text when it doesn't need to be.,2025-02-19,1
So after careful consideration this app is TRUELY garbage. Always force closes itself has a rough time logging back in freezes frequently doesnt have the features it use to have and just junk all around.... to rehash. EVERY UPDATE THIS APP GETS WORSE. Lately I've been getting continuously LOCKED OUT of my account even RIGHT AFTER RESETTING MY PASSWORD.,2025-02-19,1
there are nice people in the bank but they require you to make deposits every month well some people don't have all the money in the world and they can't do that so they said I could just flip money back and forth to savings and checking that is ridiculous I will be getting another bank as soon as possible.,2025-02-17,1
bad bank,2025-02-17,1
It sucks. All it does is load / spin. I can never get on my account. Doesn't matter morning noon or night. This app is horrible. I hate it. Citizen Bank needs to figure this out because it's an inconvenience. Also trying to come up with 500 letters / words is an inconvenience when it doesn't require that much detail to describe the problem. I think they do it so people won't write a review. It's ridiculous. But I will just keep typing to take upspace even if it not about the app. Figure,2025-02-16,1
"How on earth this has a 4.8 when the app never works or is having, ""maintenance"" done.",2025-02-15,1
Every day keeps locking me out and I have to change my password daily.The app is very wonky also ....looking for another bank,2025-02-14,1
"This app is horrible. The app seems to be always down & you don't have access to your account information if needed unless you go on a website or call. It is just inconvenient, especially when you're on the go. App also doesn't save username. They need to fix these problems.",2025-02-13,1
Logs me out when I try to pay bills while I'm entering the amount. Fix this buggy app,2025-02-12,1
Account verification sucks period I shouldn't have to verify my account multiple times a week,2025-02-11,1
Worst bank they don't close your bank accounts and yes they tell you it's closed and hit you with fees good luck,2025-02-11,1
They updated the app and its no longer compatible with my phone. Thanks.,2025-02-10,1
Always says come back in a bit!,2025-02-08,1
It would be great if the app worked. As it is EVERY single week it is locking my account and making me change the password. Ive had over 18 passwords in the last 2 months. This is ridiculous & definitely making me consider changing banks just so I won't have an issue every time I try to use the app.,2025-02-08,1
"After most recent update, I am no longer able to log into mobile banking.",2025-02-06,1
The app never works the app always crashes the Apple always lock your account do not download or bank with these people,2025-02-06,1
Not good,2025-02-06,1
"Citizens options are ridiculously confusing. Mobile and Online don't offer the same options, e.g., which one allows transfer to an outside account. It's pretty rediculous.",2025-02-05,1
Worst app ever if I could leave 0 stars I would,2025-02-05,1
You folks have to do a better job keeping up with transactions. Its literally like you want to give people overdraft fees,2025-02-05,1
Don't waste your time on this application it's worthless piece of junk. It takes 5 minutes to load. No deposits can be achieved with it Thank you for nothing citizen's bank.,2025-02-04,1
"This bank is absolutely ridiculous! For the past month and a half, I have had to call customer service to unfreeze my card! EVERYTIME I try to make a purchase or pay bills, the bank freezes my debit card and no one can tell me why my card gets frozen! It is absolutely UNACCEPTABLE!!!! DO BETTER CITIZENS BANK!!!! DO BETTER 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤬🤬🤬🤬",2025-02-04,1
"This app is a pain in the a$$. I get locked out, when I try to reset my password it won't even let me past the page to reset my password. I keep getting messages to try again, I try again and it doesn't work.",2025-02-02,1
