Review,Date,Stars
I find Credit One's payment processing to be unsatisfactory; a ten-day delay in reflecting payments is unacceptable. And every month they send a different agreement if you don't follow up on the agreement they will keep doing whatever they want. They also charge $4 interest fees on cash withdraws that I NEVER charged every month plus $95 for the yearly fee,2025-05-23,1
this bank is horrible I never made a account they took money out my business bank account sent a card with my name some where else the only way I knew was threw my bank statement this card been made call credit filed dispute and 30 to 60 days is what the tell me then after the 60 day when I ask whats the instructions now this rep tell me I can't tell you what to do now it never happened before.. WTH WHERE MY MONEY???,2025-05-23,1
"banks are awful, the security only ever locks me out. it takes forever and updates too much. i hate using apps and banks and they're all terrible and a huge hassle to deal with. I don't want to verify 5 times, put in passwords over and over, open tab after tab to put in a code to get a secret link to change a pin number. it's awful and complicated and I hate it.",2025-05-23,1
my card was charged in another state. I provided them with evidence that I was at work when the charge was made. The charge was made in-store. They told me I had to call the store and take the matter up with them myself,2025-05-23,1
I'm having trouble when it comes to my username and my password trying to login and it will not take my password I've done everything I was told to do on the phone yesterday I was told I had to go online to change my last name and I'm not getting nowhere,2025-05-23,1
app is not user friendly if you have different accounts with credit one you can't add additional account to your profile,2025-05-23,1
If I could give negative stars I would. DO NOT GET THIS CARD. They have ridiculous interest charges always added on the 15th. They make your card over limit when its not then you have to wait 48 hours for them to correct it. I pay my bill on time and they still charged a late fee. Had to wait 48 hours to correct it. They are rude and nobody speaks proper ENGLISH. AVOID THIS CARD,2025-05-23,1
"Got this card several years ago and honestly didn't use it often because I have other rewards cards I use way more often because of the obvious reason that I get money for using them. Well, out of nowhere, and with no warning, Credit One just closed my account! I mean a letter, an email, a phone call, something to tell me they were doing this would've been nice before they did it! So annoyed with them because a closed account like that never looks good on your credit. Do not recommend!",2025-05-22,1
"scam absolute ripoff! dont fall for ""their use express payment for $7.95 so you dont get charged a late fee"" i used express payment paid the $7.95 before 5pm only to be charged a late fee! beware stay away there are better options available!",2025-05-22,1
"STAY AWAY FROM THIS CARD AND THIS APP. HAD MY ACCOUNT UNDER CREDIT PROTECTION BENEFIT AND THEY CLOSED TJE ACCOUNT WHICH IMMEDIATELY CRASHED MY CREDIT SCORE. SO IN TRUTH, EVEN THOUGH THEY DO MAKE THE PAYMENT FOR YOU IT DOESN'T SERVE TO PROTECT YOUR CREDIT AS THEY WILL CLOSE THE ACCOUNT.",2025-05-22,1
worst ever. I applied for another credit card I hate it so much.,2025-05-22,1
The only thing you can do in this app is check your balance.,2025-05-22,1
The worse Credit Card to get. I can't reach a customer service rep at all. I called the number it says enter your last 4 digits of your credit card and social to get through. And it says card not found? 🤔 but they still carge me monthly. And they are charging me the 1 time yearly fee every month. And also charging me credit protect in which I never asked for. I pay my monthly on time. but with the fraudulent fees it's like if I am only paying $10!? 😲 I just can't get through to an operator!,2025-05-22,1
"The company isn't great, I had a card with no annual fee, saw a charge I didn't make, come to find out I had an annual fee. Paperwork I got clearly stated no fee. Card cancelled.",2025-05-22,1
it's annoying to use,2025-05-22,1
charge a fee for payment,2025-05-21,1
I can't get into my credit one app user n password are not coming up,2025-05-21,1
App is terrible,2025-05-20,1
"How do I have a balance yet, I don't have a card. I'm still waiting on the card their system says I'm still waiting on a card, yet you have a balance due. Ridiculous",2025-05-20,1
the pending transaction should tell us what it is so we know what the charge is for.,2025-05-20,1
Avoid this card...terrible service.,2025-05-20,1
"This company is complete garbage, worst place to have a credit card through. they are charging me monthly fees whe there is no balance on the card and there is no phone number to contact a live person.",2025-05-19,1
I pay it and still can't use my card for like weeks,2025-05-19,1
I was late on payments a couple of times so they closed my accounts.,2025-05-19,1
Don't bother using their services. These people prey on desperate people going through hard times,2025-05-19,1
Random interest charges and takes a long time for your payment to be reflected in your account.,2025-05-19,1
I hate the scheme of having you pay 9 dollars to pay your bill today for some bs live agent to ask for your sn or utilize a standard payment option that can take 3 to 5 days to process. and another week to be made available. Archaic scheme to take advantage of people trying to raise their credit,2025-05-19,1
"horrible credit card, can't pay whole balance, don't receive notifications, monthly charges. don't do it",2025-05-18,1
"I have canceled autopay repeatedly, but Credit One keeps charging my bank account and then adds a return payment fee when it doesn't go through. You will also be charged again if that puts you over your limit. Customer service conversations are always hard to interpret due to heavy accents. Put $50 in your savings every month instead of paying them, then borrow from yourself. It's not worth the plastic 🤦‍♀️",2025-05-18,1
had a payment do 4 days after activation of card don't get this card!,2025-05-18,1
this company is a joke 🤣 they make it next to impossible to get any help. my balance was 288 then as soon as I made a 200 payment they raised it to 305 in less then 24 hrs... so then they said my balance still do was 105😂🧐🤨 with a 94 total amount to spend on my card😂😂😂 after a 200 dollar payment. please DO NOT I REPEAT DO NOT LET THIS COMPANY SWINDLE YOUR MONEY 💰 FROM YOU LIKE THIS...,2025-05-18,1
