Review,Date,Stars
App quit working after the last update,2025-05-24,1
Since latest update I can't open the app unless I restart my phone each time. It gives a continuous loading signal and never opens.,2025-05-23,1
Capital one is a joke. Choose someone else. Gave me the run around for a month because my bank wouldn't give them personal information. They said my payment wasn't rejected and that Capital One does not need that information.,2025-05-23,1
quick silver sucks donkeys,2025-05-23,1
this app never works,2025-05-23,1
"Ok app, BUT DOES NOT GIVE AN ASCENDING TOTAL WITH EACH CHARGE.. THEREFORE, THE AMOUNT DUE EACH MONTH DOES NOT REFLECT THE ACCURATE AMOUNT ON THE CARD.. LIKE BOA'S APP DOES ........ In 2025 problem remains the same.... would use you much more except for the previously stated reason..",2025-05-23,1
I unistalled the app and re installed it.It is still slagging. Doesn't want to open. So annoying!! Please fix issue.,2025-05-23,1
"App does not load, uninstalled and reinstalled multiple times but no use. only work around is by restarting the phone everytime I want the app to start. very frustrating.",2025-05-23,1
It sucks. it never remembers my password.,2025-05-23,1
this has to be the worst app I have ever used . it never works ..I got a card through kohls and I am.forced to go into the store and make payments because THE STINKING APP IS GARBAGE . . AVOID THIS APP AT ALL COSTS,2025-05-23,1
not getting answers to help me,2025-05-23,1
not the best app or service to recommend,2025-05-23,1
"Do you like giving banks even more money? How about wasting your time? Not only does this app collect and sell your data, they keep adding new ads and popups while reducing the apps functionality and creating more bugs. I uninstalled bc I was so sick of it and reinstall only to deposit checks. well now that's buggy, too! Took about 20 mins and 5 attempts. Thanks for nothing capital one. I honestly don't know why I'm still with this bank. This just pushed me to look harder for a new one.",2025-05-22,1
it is not working every time I try to sign in the wheel just spins I can go online and sign in why is the app not working I'm on Android,2025-05-22,1
Stay away from this card If you pay it off within 26 days they consider that credit cycling and will cancel your credit card,2025-05-22,1
"can't open the app or navigate between screens without getting bombarded with ads. this is a banking app, not a sketchy website. do not show me ads. capital one is just the worst",2025-05-22,1
not good,2025-05-22,1
"Avoid Capital One at all cost, they have the worst policies against consumers.",2025-05-22,1
Samsung 10+ User. This app stopped working a month ago. I thought it would be fixed by now. I've uninstalled and reinstalled it to no avail.,2025-05-22,1
all of Capital one security system is a joke. all you need is a log on ID and password and you go right. there is no 2FA or any other feature that prevent accounts hacking. I cannot believe such a large bank and their security is a joke.,2025-05-22,1
capital one sucks,2025-05-22,1
I more annoyed with how the bank is growing rapidly on the backs of customers....cant wait to close my accounts,2025-05-22,1
very cumbersome at best to book things through travel portal,2025-05-22,1
Transfers to my accounts using this app take way too long. I often find myself wondering where is my money. The money at my bank might be withdrawn for 3 days and still not showing up in my capital one account. When transfering out of capital one the money is instanly no longer available but takes close to a week for a bank to actually get the funds. Transfers between my capital one savings and capital one checking take 4 days. Imagine the interest from all the customers for this time period.,2025-05-22,1
will not login,2025-05-22,1
horrible to use,2025-05-22,1
I'm trying to access Zelle,2025-05-22,1
App won't go past login screen. Just sits there and spins. This needs to be fixed!,2025-05-22,1
Can take weeks to months for simple phone number verification to be registered. Even though my number is in the system and on the app I continue to get an error message stating they don't have my number. This means I have to call in and manually process items I would normally be able to do on my own with simple text verification.,2025-05-22,1
I could not get on no matter how many times I tried I could not get on seems like everything I did was wrong and it started over and over and over I have an activated this card and I don't know how I want a phone number to activate this card that's the easiest way for me I do not know computers or phones I don't like using them,2025-05-21,1
After latest update app now after logged in app I can see only Current balance in first opened window. Available credit I can see in second window. Return back when customer can see both Current balance and Available credit at the same time in first opened window after logged in app. Current balance must be changed immediately after last transaction (not after 3 days after last transaction).,2025-05-21,1
"cannot deposit checks as it keeps telling me that it can't read the check numbers. I am taking perfectly clear pictures every time and it refuses to work. I can't even get this app on my old phone to upload the check either so I guess I'm just out of luck. you are the biggest credit card company in the USA, this is unacceptable. fix your app",2025-05-21,1
App nor website gives you your statement balance. Seems like they do it on purpose so they can charge interest. And if don't pay full statement balance they punish you 3 month charging interest even if you pay statement balance on other months. This confuses customers since it mixes statement balance with current charges and make it a total balance but doesn't differ from current charges and last month balance.,2025-05-21,1
