Review,Date,Stars
I can hardly ever use the app. mine always pops up and says mobile banking unavailable. I cant even get into the screen to log in. I make sure that my app is always updated and it still happens.,2025-05-23,1
It's fundamentally unreliable at a rate that is shocking for a major bank. I think they decided the money would be better spent on stadium naming rights.,2025-05-21,1
Usually had no issues but today it constantly says that the app is corrupt. I've deleted and reinstalled three times now and it still says the same thing.,2025-05-21,1
App is corrupted!!!!,2025-05-21,1
Zelle in the update is unsuable because it tries to pull from your entire contact list. It cycles forcing to relogin or crash the app. Let us send to phone number without adding to contacts please.,2025-05-21,1
file is now corrupt and can not open the app at all deleted and reinstalled multiple times just continue being corrupt. maybe it's time to leave m&t,2025-05-21,1
"I never even got as far as logging in. When you install the application it wants you to ""give permission"" and it will collect a list of applications installed on your device. When that popup appeared I wasn't even sure if this app was legitimate and immediately uninstalled.",2025-05-20,1
this app is not good m&t bank they use outdated technology and all the time system is down,2025-05-17,1
"check deposit constantly say it's ""unavailable, please try again later"". app is updated on my end. called customer service and they say nothing is wrong on their end, or with my account and they're sorry, but I'll have to go to a branch. what good is a banking app if you can't do deposit? Update - The canned reply from m&t to my review is worse than no reply at all. if you actually read it, I already stated I had updated to latest app, and I called customer service. zero stars",2025-05-10,1
No legitimate reason to require location permission. App auto-exits if you refuse location permissions.,2025-05-09,1
"This app regularly displays late or incorrect information. Edit: Even with the ""latest"" updates, this app still does not do its job correctly. Edit: one year later and your app is still buggy and doesn't work correctly. It never displays correct/current information.",2025-05-07,1
It is allways asking me to uninstal and download it again each week.I can not open it easily.It is freezed,2025-05-03,1
"** UPDATE 4/30/25: Having to get a code every time I logged in was frustrating enough, now, text is no longer an option. Options are push notification or an email. And, of course, push notification doesn't work. UGH!! Used to love being able to access my accounts on my phone. Got a new phone & installed the app. Now, I have to get a code every single time I try to log in. What's the point of having a password & fingerprint enabled login if I have to get a code every time??!! SOOOO frustrating.",2025-05-01,1
Terrible app works once then you have to delete and download again to work.,2025-04-29,1
"Someone else pointed it out, but this app just Does Not Work on a Moto G Power 2025. I have no idea why but you open the app and immediately get a ""Temporarily Unavailable"" pop-up, there is no way to troubleshoot it, clearing the cache, uninstalling and reinstalling doesn't work, I've called customer service to figure this out twice and both times the helper has been stumped. It's been a month since I changed phones, this issue should've been resolved the moment the bug was found. Fix your app.",2025-04-28,1
way to difficult and never works,2025-04-28,1
"The last several times I've tried to mobile deposit a check (the main reason for having the app) I get a message saying I was logged out for being inactive for 5 minutes. The process didn't even take 5 minutes. So, there is a technical glitch and an inaccurate error message.",2025-04-25,1
never works,2025-04-23,1
This app does not run on a 2025 Moto g power. I've tried multiple devices of this make and model. Works on every other android device I've tried. Very frustrating.,2025-04-22,1
"They finally fixed mobile deposit, after a month of it not working. Will definitely be switching to a different bank whenever possible.",2025-04-21,1
"Horribly unusable, get a real app developer for God's sake, it's a bank app where you can't even deposit a check! Pathetic excuse for software and waste of time.",2025-04-20,1
intrusive app to collect data,2025-04-18,1
sucks,2025-04-17,1
This mobile app is useless. Recently cloned all my apps to a new phone and this app gives an error that mobile banking is unavailable. Even after I uninstalled the cloned app and reinstall the latest app from the Google play store keep getting the same error.,2025-04-13,1
"love m&t, not the app. it objects to my settings but idk what they need. can't begin to use it. won't let me.",2025-04-11,1
trash customer service. Offer Zelle through the app then when you finally have to use it they trigger a fraud and tell you try again in 48hrs,2025-04-09,1
The amount of permissions this app requires is a serious invasion of privacy. They want a list of all your apps along with your complete search history. An app to a bank to make payments on a loan does not need all of that information.,2025-04-07,1
They want too much access to your phone.,2025-04-01,1
horrible,2025-03-29,1
my mortgage was sold to this bank. The app doesn't work. The website doesn't work. This is a bank........right?,2025-03-28,1
"Constantly under maintenance and unusable. Other bank apps are NEVER ""temporarily unavailable""",2025-03-27,1
dysfunctional garbage app. flags everything you try to do as fraud and offers no 2 factor authentication to bypass. how on God's green Earth are there still banks that don't have the faintest idea of how to handle security? I hate M&T with a passion and cannot wait for the day that I have time to kill my account with them. Monumental waste of time and energy to work with this garbage company. Edit: it is the most recent version! Unfortunately you can't hide behind that.,2025-03-26,1
app is down for logging in purposes yet the website is perfectly usable on a web browser. m and t bank needs to fix its servers for the app.,2025-03-23,1
banking system is horrible. you need to verify every single time. their system is always down. they are hard to reach. shoot i got some stories. never dealing with this bank ever again,2025-03-22,1
can't even complete a $275 zelle transfer. wait on hold for 30 minutes and still no help. tell me to try again in 48 hours.,2025-03-22,1
"3/21/2025 App has another bug When you enter the verification code and hit continue, the app closes and the next thing you find yourself on the phone homepage. As usual, MTB says there's nothing wrong. SURE!!!",2025-03-22,1
why does this app need to have permission to manage and make phone calls from my phone and have to know my location in order for me to have access to use the app. not cool or appropriate for a user. needs to change that immediately.,2025-03-20,1
Need to know too much! Why all apps on phone?? Discontinuing use of mobile app.,2025-03-14,1
"App is offline alot for ""updates"" if you apply for a loan you get sent to a browser page and if approved via email no one will reach out. Scam bank all around avoid",2025-03-11,1
Worst app ever. Can Not do almost all necessary banking tasks on the app. It forwards to the website. Which requires an emailed code. The app then logs you out when you log into the website. When you go to log in the app. It requires another emailed code to log in.,2025-03-09,1
"For as large of a bank M & T is, you would think they'd have a well working app. Unfortunately this app freezes more than the arctic, won't deposit checks, etc. It's should be embarrassing for M & T",2025-03-04,1
Can't get M& TBanking apt,2025-03-03,1
"This app is complete and utter GARBAGE!!! It's constantly in a state of malfunction. Either you cannot login or if you do get in the system, it's down, and you can't complete any online banking tasks at all. To get any kind of help you have to call the ""help line"" and guess what....they can't help you either!!",2025-03-02,1
Works fine on my old Motorola phone. New Motorola phone the app won't load and just keeps saying M&T mobile banking temporarily unavailable. App is loading on old phone!! What's the problem here,2025-03-01,1
"My time has value, this app wasted my time, therefore this app stole from me. Required unnecessary permissions and then delivered 0 functionality",2025-02-26,1
"This app should have 0 stars. It consistantly logs me out during a moblie deposit. I just logged in and went straight to it with my check already signed. That is not 5 minutes long, in fact it can take less than a minute. It wont let me use zelle either so I have quite a few issues",2025-02-25,1
The app and online banking are constantly down in the evening. Don't have this issue with any of my other banks and their apps.,2025-02-23,1
"Terrible app. Requires my location to even login? No thanks. New to this bank since they bought my mortgage, but no thanks.",2025-02-22,1
This is the worst banking app I have ever had the pleasure to use. Bank to bank transfer system is totally broke. Horrible customer service. No response to online messaging and finding a competent over the phone representative is impossible. Don't open an account at this inferior bank.,2025-02-21,1
I reset my password and it still locks my account. This app sucks,2025-02-21,1
"Didn't even get to begin using the app, as the very first step during app onboarding is to give the banking app a slew of unnecessary permissions. These are not optional, it is either enable them or exit the app. I'm exiting and uninstalling the app. Guess I'm limited to the web portal.",2025-02-20,1
They want access to to All your info before you can even open the app. I am forced to use them because my home loan is now managed through this app. I hate it!,2025-02-20,1
"Have m&t banking app on computer, phone & 2 tablets. When tried to use on my phone stated wrong password. How do I fix? Very annoying",2025-02-19,1
"The level of of intrusion relating to your personal information, thier high level of device access, and more far outweighs the benefits....I can't even use the app without them having the ability to manage my phone calls (one of the permissions they ask for).",2025-02-17,1
This bank makes negative effort in helping you open an account.,2025-02-14,1
"Well, it's a useless app. You cannot review details about the mortgage, nor makepayments thru the app, it directs to a website.... So, I saved the website and deleted the app.",2025-02-14,1
