Review,Date,Stars
"24 May 2025 It’s stopped working! Every time I click on it, I wait, and wait, and nothing happens. I opened Google Playstore and downloaded the latest update and PNC app still doesn't work.",2025-05-24,1
closed my account a day after I created it and refused to elaborate.,2025-05-24,1
Constantly freezes up my phone. it doesn't work well with the samsung fold 6,2025-05-23,1
horrible experience. spended 30 mins just to login with the correct data,2025-05-23,1
"app never lets me in the first time, always have to log in, get dumped out, close app, and reopen and log in again, heck of a way to treat your loyal customers... 🤔 you offer online security advice but can't even make a working app... wow! priorities all messed up...",2025-05-23,1
buggy mess that constantly signs me out and turns off biometrics. it was also bad on iOS,2025-05-23,1
New mobile app will not let me log in,2025-05-23,1
Can't stand this bank or app. M&T all the way.,2025-05-23,1
"worst banking app. whenever I sign in it automatically signs me out and then I resign in and it works. when I make a mobile deposit and take a picture, as soon as I click the shutter to take the pic it signs me out then I go back in and it works fine. tried zelleing money from my business account for an expense and it just took me in circles verifying a phone number, then the email, then it never allowed me to proceed. ugh. I just hate the PNC app so much. rant over",2025-05-23,1
app is always freezing constantly have to install and uninstall ugh,2025-05-23,1
"The only thing consistent about this app, is that it consistently pisses everyone off. It's a janky PoS that crashes IMMEDIATELY every time you login, requiring at least one more login, possibly more. Absolute garbage. This is what happens when you push out updates for the sake of updates. Login doesn't work, biometrics don't work, mobile deposit barely works.... it's great.",2025-05-23,1
when it works its great unfortunately its down just about every morning,2025-05-23,1
"more updates, yet issues haven't been fixed....as soon as you log it app says your session has expired and logs you out. gotta log in sometimes 2 or 3 times to see your account.",2025-05-23,1
sucks,2025-05-23,1
one of the worst banking apps I have used. Has started to constantly crash especially when trying to do mobile deposit. has been like this for months,2025-05-22,1
keeps crashing when I log in,2025-05-22,1
"This app is very frustrating but since thsi is the bank I use, I'm stuck with it. It crashes all the time and sometimes I can even use it for paying bills or using Zelle. It really needs to be improved!",2025-05-22,1
"no ability to easily email or contact PNC in a non-real time way. let me send an email PNC, I'm not waiting on the phone for an hour to ask a one second question.",2025-05-22,1
Closing my account because of this app. it can't be worse.,2025-05-22,1
"horrible app and updates. everytime there is an update the biometrics don't work. you have to request enter password. in addition customer service cannot be done well from app. phone numbers, services etc. not done from app. very limited. biggest issue is every update they lock you out",2025-05-21,1
mobile deposit sucks always craching out,2025-05-21,1
"horrible app! constantly crashes! spoke with support... she told me it's because I need to uninstall the app, re install and then reset my phone... ummm no, yalls ""updates"" mess the app up EVERYTIME! stop being cheap and actually spent money on developing the app! and please 🙏 UPDATE the look of it! so outdated! makes me feel like I'm banking on an old Macintosh! *Update... She told me she isn't having any issues with it, well good for you...A LOT of people are!",2025-05-21,1
won't open,2025-05-21,1
Have had to log in twice for as long as I can remember just to view activity with this buggy app. Should devote more resources for the user instead of their execs. I've been with PNC for over 15 years and have seen minimal advances or rewards for the customer. Actually leaving this month for another bank with no fees who won't have requirements to house my money.,2025-05-21,1
This app used to work beautifully but for the last few months my husband and I both have the exact same issue on our own devices with our own individual logins. Every single time we log in it immediately tells us we have been logged out. Then to avoid having to manually type in our login information we have to close the app and relaunch it and it works correctly. I love PNC as a bank but they seriously need to step it up with their app.,2025-05-20,1
This app freezes and NEVER allow me to use PNC pay when I try to use the touchless feature. It NEVER let me pay with my phone. I have to always have to make sure I have my physical card to pay. PLEASE PLEASE PLEASE fix this contactless feature.,2025-05-20,1
always have to uninstall and installed the app,2025-05-20,1
