Review,Date,Stars
"Used this app for years but it appears Regions only cares about their customers who have new phones. The fact that I've been a customer since before online banking doesn't matter. A heads up that they were going to screw over a bunch of us customers would've been nice. I've been unhappy with Regions in general for years but used them bc they're everywhere. Looks like its time to go to a bank that actually appreciates their customers, no matter their phone model.",2025-05-23,1
This stinks for those of us who may not have the latest phones! I'm certainly not going to go out and buy a new one just for Regions!,2025-05-22,1
Can't download the app on my s21..very inconvenient,2025-05-22,1
App does not work with samsung phone anymore.,2025-05-22,1
"App is suddenly ""incompatible"" with my phone. It seems Regions is not concerned with customer satisfaction or retention.",2025-05-22,1
"all of a sudden my phone can no longer run this ""version"" of the app. I had it on my old S9, got a new one and now I can't bank? Yeah you can serve me better release an update that doesn't block out myself and your 1000s of other customers who cant afford the latest phone!",2025-05-22,1
"This app was working fine for months including this morning. This afternoon, it said my phone is not compatable with the regions bank app and now i cant even see the app in google play store. what is going on?? I need my app back can anyone help? . . . I sent an email to developer asking for help as it said to do still waiting..04/23/2025 no answer....05/20/25 sent again . . . i have put app on 2 differ phones works than same thing happens. Going on line not in app to do my business😶",2025-05-22,1
"customer service isn't worth anything if they can't do anything, kept deposit for 10 days even after it was verified after the 2nd day. I will be closing my account and returning to bank of America. Ive never had this issue there.",2025-05-21,1
"The App Won't Let Me login to My Account Anymore, Can Y'all Fix This Bug.",2025-05-21,1
"I have an older Samsung galaxy phone, but this app doesn't have a compatible version for download.",2025-05-21,1
"I have been using this app on my galaxy note 9 for years! now its a problem? This bank is the hardest, most trouble to make a payment & by phone is just as bad👎. Come on Regions Bank.",2025-05-21,1
"Been using this App since I've been using Regions Bank, and now it's not compatible with my phone? Not cool, unless Regions is gonna pay me for a new phone.",2025-05-20,1
"New* Will the great new app be backwards compatible for the Note9, among others? Why isn't this app compatible with the Samsung Note 9? Mine still functions as well as the day I first got it years ago. I have yet to use or try to use any app I've had an interest in that doesn't work for my device, until now. Am I supposed to buy a new $1000+ device just to meet the demands of every app developer that refuse to write, or is too lazy to write software that will cover a greater range of devices?",2025-05-20,1
very frustrated,2025-05-20,1
app has not worked on my android phone for over 2 years,2025-05-20,1
regions why did you update the app so everyone couldn't use it,2025-05-20,1
"The update needs work with all phones, including Samsung Galaxy Note 9, or leave the Regions app the way it was without the update. When it worked with all phones. Google's Android update has made the Regions app user unfriendly / unusable. I hate not being able to use the app. It was my preferred way to access my account. When you contact Regions, they say it's the Google update; not Regions' doing.",2025-05-20,1
Doesn't allow log ins since the latest update. Never had any problems before. 5/19/25 No longer supports!,2025-05-20,1
"I have the note 10plus ,note 8 phones. this app works great with them.l just got a note 20 ultra which is newer then my other two. Will not work with this phone. Have to go to your website to access my bank account. Not Happy. Another review said they may change banks. And yes the short cut to my banking is important. So changing Banks if no repairs are made.",2025-05-20,1
why all of a sudden is this app no longer compatible with my phone? what changed? what if this could be fixed? I wish I could give zero stars,2025-05-16,1
Can no longer use with my phone.,2025-05-15,1
not compatible with my device anymore.....,2025-05-14,1
the literal wost bank in America. DO. NOT. EVER. BANK. WITH. REGIONS.,2025-05-14,1
You just bricked my phone for your app. No mobile app for my Galaxy Note9. I really hate phones and computers now. Now I have a reason to find a better bank.,2025-05-13,1
I can no longer use this app after many years of being able to because its no longer capatible with my Samsung 9+. I sent a complaint in to the bank and their reply was to update my operating system. I'm not buying a new phone just to use one app. How about the developer fix the app that's causing the issue to begin with?,2025-05-13,1
regions sucks. period,2025-05-13,1
was a great app... WAS! hasn't worked so far this year! what is going on? FIX IT,2025-05-12,1
new update unusable app,2025-05-12,1
zCant update on my phone,2025-05-12,1
Been using this app forever. it was convenient for me. and now it no longer works. this is like the straw that broke the camels back. just gonna close my accounts with them and move it to the other banks that I bank with.,2025-05-09,1
I gave the app 4 stars back in 2018 but now only 1. I've been using the app fine on my 9S+ but without any explanation I couldn't use the app anymore. It says my device is not compatible with the app. So am I to buy a new phone just to be compatible with this ONE app. Maybe I should change banks!!!??? Ridiculous!,2025-05-09,1
3time lottery winner and you close my account shame on you,2025-05-07,1
"been using app for years never a problem ,now it doesn't work. if I understand the response I got from the developer correctly there saying my phone is to old, if that's correct why does Google still update?",2025-05-07,1
