Review,Date,Stars
This app's user interface is incredibly frustrating. Simple tasks require far too many taps and feel unnecessarily cumbersome. The amount of friction in navigating and completing basic actions (especially paying a credit card) is surprising for an app from such a large bank. It honestly feels like it was designed by a team with limited experience in UX/UI principles. I hate when I have to use it.,2025-05-03,1
"Recently they changed the mobile alerts for charges made online. Before it would show you the dollar amount, so if you remember your charges you could see it and know where it came from, or if you saw an amount you don't recognize, you could then go into the app and look where that charge came from. Now it just says ""debit card has been used online, check for details"" so now EVERY SINGLE charge has to be checked to keep in top of any potential fraud. It's incredibly frustrating.",2025-05-21,1
"The app is ok, but it could use a few improvements. I like to manage my net worth on the app as well, and the app doesn't calculate it correctly. It double counts one of my internal accounts. It adds the same account as external accounts. It's been over two years, and no one can seem to fix this problem. I heave reported it several times.",2025-05-03,1
"'WHEN' it ACTUALLY WORKS, it's Great. BUT it ALWAYS Tells ME that i am 'not connected to the Internet' (to use it) AFTER I've logged on already & having to wait several minutes at a time just to be able to GET to the FIRST 'ACCOUNTS' screen. Then, a never-ending 'BofA isn't Responding' Caption follows & I just LEAVE bcuz i CAN'T SEE trying to continue using it. At this point, it's only serving to take up data & save information from my device; I'm gonna 'uninstall' and do business elsewhere.",2025-05-19,1
"Generally, I agree with most reviewers who complain about this app's performance: slow, non-intuitive, difficult to navigate. For me, the most frustrating issue is trying to deposit checks via this App! I admit that I have shaky hands but even after I take the photo myself the App suddenly says, ""Oops. Something has gone wrong. Try again later."" Every time. Useless!",2025-04-12,1
"I avoid using their card and app for 90% of my purchases because the app doesn’t offer an option to automatically pay the full statement balance, unlike Amex, Chase, or even basic credit unions. This design increases the risk of interest charges, especially when busy or distracted. It feels like a trap, and for that reason, I can’t rely on this card and app for everyday use or recommend it... no.",2025-05-10,1
"Needs a dark mode. Check deposit does not always work and is very finicky to use. ""Less light is needed"", ""More light is needed"", ""Move closer"", ""Move back"" over and over and never lets you deposit the damn check. Getting worse. ""Insights"" is just a platform for ads, now. When I sign in to do banking, I do NOT want to have to click through a goddamn ad first! This app is the definition of ""enshitification"", now.",2025-04-19,1
"this app SUCKS if you have multiple accounts!!!! I have 3 accounts, and when you try to log out of one and into another it kicks you out MULTIPLE times as you try to log in using your finger print. I have to physically enter my log in info manually to get into the next account. VERY ANNOYING when I'm trying to bounce between the 3 accounts. This has been a problem for over a year.....you would think they would fix this issue by now. Horrible app!",2025-03-22,1
"I have been using BOA billpay for over a decade. It used to be a reliable workhorse. Recently, BOA has become more aggressive at pushing their immature less than Beta quality agent. Erica is stupid and slows me down. BOA does not use AI to help me navigate its menus, which would be easy and low risk to implement. I spent three hours setting up ACH transfers because the prompts are counterintuitive.",2025-03-28,1
Terrible. I ordered the Alaska miles credit card and set up through B of A app I messed around with it for about 45 minutes and couldn't figure out how to even add my bank account to pay the credit card fee. I ended canceling the credit card shortly after because the app was too frustrating. Shame bc i would have liked to have that card. I'm in my 40s and moderately tech savvy and use 10ish online banking and finance apps. This is by far the worst. not intuitive nor user friendly,2025-04-18,1
"This app is very glitchy. When I try to change between accounts it logs you out. You log in again, click to switch accounts, logs you out. Do it 5 more times and finally you're in. Some days you could click it for an hour and it will log you out every time. Sometimes it works on the first try like it's an actual functioning app. But most days after about 3 attempts I walk away from banking today and try again tomorrow. If there were an alternative app, I would most definitely scratch this one!",2025-03-16,1
"this is the most complicated bank application I have ever used. any time task, like making a payment, setting up auto pay, adding a new bank account to pay you credit card with, EVERYTHING requires an extensive amount of time trying to figure out where and how to do it. careful, they won't let you pay your credit card with a new bank account until they send small deposits to your account to ""Verify"" which takes 3 days. this is to make you late on your payment, don't be fooled. worst bank",2025-05-14,1
"By far the WORST banking app I've used (out of the 9 I use on a regular basis). Set up paperless billing from the get-go, but then never received a statement, and couldn't set up a payment account via the mobile app (had to be in a web browser). Just discovered you can't even make a custom payment amount through the mobile app - only the statement balance or the minimum amount due. What a joke! Why even have a mobile app???",2025-05-14,1
"Since last update, the app does not perform well. It keeps crashing. It becam e very slow. It is now a year later since my review above. The slow condition has not changed. It might even be a somewhat slower. I use the app several times per day. It is imposible to make Zelle payments. It just keeps frozen after the option for Zelle is selected.",2025-03-22,1
I have no idea how this terrible app has 4 stars. Can't send yourself an email confirming a balance payment. The payment record doesn't show up for up to two days. So you can't tell if it's already paid or not. I frequently find myself overpaying because of this basic stuff that is just non-existent.,2025-04-04,1
"Horrible user interface, not easy to navigate through statements or set up auto pay to a credit card, whoever designed the app needs to fired. Update: nothing has changed, still the worst banking app in existence. tried to pay the bill and it defaulted back to the home screen. no confirmation, nothing. really horrible",2025-03-22,1
it's not just the app it's the bank itself too. regarding the app you can only view your FICO score but you cannot get anything else like reports about new accounts dark web searching if for seeing if your information or security was compromised. Don't be misled by their interest rate which is almost zero it's 0.01 which means 100th of 1% not 1%. they do have a good mobile check deposit option.,2025-05-01,1
