Review,Date,Stars
"Unable to log in. It required password, text contact, biometric registration, and scanning one's driver's license, which is ridiculous since that's more than you'd need to launch a nuclear missile. It won't scan my driver's license after carefully composing the picture as requested, holding the phone as still as a sniper, and adjusting lighting for glare. I wasted nearly an hour trying to log in, then gave up. At this point I'd rather cancel my Chase account than jump through any more hoops.",2025-05-19,1
"Almost every time I try and use the app, it won't let me sign in. Even after I enter my password, have them call me with a code, and then have a picture of my driver's license scanned, it will never confirm I am me. I get the message for me to try again later, only for it to do the same routine. It only let me in when I first started using the app. The app would not let me update any information the few times it granted me access. Not worth the aggravation to use.",2025-05-20,1
Was a great app. It only works somewhat. only lets you look at your accounts. It killed fingerprint login and wont allow you to make any changes. You can see everything about your igsisting accounts but when you try to look or due anything else it tells you that it is unable to connect to Chase Bank and to try again later. Has been doing this for a couple of months. Makes one question how secure and safe it is. uninstalling for now. It raises to many questions to be safe.,2025-03-06,1
"I have great credit score, multiple credit cards with them (4), and a checking account - not enough to prevent them from closing one of my accounts bc I hadn't used that card in a year (card hadn't been working so I ordered a replacement for it). I find that pretty ridiculous so I just opened a Citi credit card and checking account and will eventually be transitioning over to them. Highly recommend understanding your client's total credit/banking picture with you before doing something dumb AF.",2025-04-03,1
"I have a masters in cs with additional degrees in math and physics. I have done the coding for interest accrual for other banks. Chase is not handling this correctly for the following situation: With a 0% balance transfer, and then make any additional purchases in a statement cycle and pay off the purchase balance every cycle and decrease the balance transfer amount, they incorrectly are calculating how much interest to charge on purchases. Customer service failed to open a support ticket. 👎",2025-03-31,1
"Update: Issue still persistent in Pixel 9 Pro. The text appears above the icons in the bottom menu. I own a Pixel 7 Pro, and this issue has persisted since I started using the device. On another note, the budget planning feature is somewhat limited because it doesn’t allow users to create new categories. Additionally, it would be helpful if we could pin this feature to the home page for easier access.",2025-04-11,1
"Every day, I try to log in but it takes multiple times. It freezes (spins wheel forever) then I finally get a message after closing the app multiple times and logging in. The app makes me ""verify"" my information and send a text, with a code. I then have to enter my code and password. Then I have to reset my fingerprint login again. I have tried to reinstall it several times. (Samsung Note 20)",2025-03-29,1
"GET RID OF THE FINGERPRINT SIGN IN NAG SCREEN ! I dont use the fingerprint sign in ,I use a password. Too often, when I sign in, I am promted to setup the fingerprint so I can sign in faster next time. I could sign in to my account just fine if they didn't bother me with a nag screen about signing in faster. The fingerprint nag screen needs a 'dont show again' option. This prompt is not helpful it's actually an obstruction.",2025-04-20,1
"Password reset every time. Chase is much less secure because their password requirements are so bizarre. Adding additional elements or characters risks triggering one of their automatic rejection criteria, and a longer password is less likely to pass their validity test. It's worrisome that they are so out of date on best practices protocol. They're essentially forcing use of a third party password manager or making us write them down.",2025-05-15,1
"Chase provides two options log in: password and fingerprint. I chose to enter a password. I thought the app would remember my choice. Nope! Every time I open the app, the two options show up again. I will not change my mind on signing in with a password. Chase, update the app to reflect my choice. If I want to change my mind later, allow me to look for the option to do so, i.e., place the other option I didn't choose at the bottom of the screen. Allow adults to be adults. Update app! Thanks!",2025-01-16,1
"Be careful when using the select your bank option to pay your credit cards. While the app initially gave me the impression that my bank was set up correctly by showing all the correct balances in my account, it failed to pull the correct account numbers. As a result, my payments did not go through. To make matters worse, there were no notifications or alerts indicating that the payments had failed. If a feature does not work or has not been tested for a spedific bank, it should not exist.",2025-01-22,1
"nobody likes frequent or mandatory updates with no noticeable change in the ""experience"", I just want to see my balance without constant interruptions like ""turn on fingerprints!"" or ""please take a moment to read our blah-blah-blah-blah...and now! you're trying very hard to make me ""turn on fingerprints!!"" why?? I don't want to - and I don't want to be told again and again every chance you get, many people are complaining about this stupid detail yet it remains and is more annoying every time",2025-01-30,1
The app STILL doesn't format correctly on Android 15 on a Pixel 9 Pro. The text on the menu at the bottom of the screen overlaps the icons. I sent an email to the address provided in the app support section and they were useless. Clearly didn't read the email and look at the screenshot of the problem with the app since they sent an canned response about requesting account information over email. The app itself isn't bad but customer service is worthless.,2025-01-11,1
"Every time I log in to see my balance I first have to click through the new features script, then the how to use them script, then post out of all those so I can see my balance. It is so infuriating. I have only found the Bill Pay edit page once and that was after 40 minutes of back and forth clicking. Data always being stolen from Chase, and them messing up automatic payments, I say next year - new bank.",2024-12-23,1
"Not a good company. They cut my limit on one of my cards in half and less than half on another because of balances on other cards. It doesn't matter that my payment history is exceptional and I have no late or missed payments. Total b.s! That's only going to further impact my score and may have a negative impact with other companies. As soon as I pay them off, I'm canceling all 3 cards. They'll never make another dimensions off me!!!",2025-01-25,1
"There's always something going on with this card. It's difficult to reconcile the balances. When I question the account, I'm being treated like a thief. I'm slowly transitioning to another card because this Amazon card is always a problem! Customer service doesn't seem to want to help. Amazon blames it on Chase. Chase blames It on Amazon. It's the most difficult card that I have. Purchases are labeled in da vinci-like codes! I can never understand my bill! My purchase history is unreadable!",2025-01-06,1
"Every time I open the app (for multiple years now) it asks for my fingerprint to login. A newly added dark pattern makes this more intrusive and difficult to avoid. A fingerprint or any other biometric is a username, not a password. You cannot (reasonably) change your biometrics. Chase Bank is encouraging poor security practice, opening you up to fraud and possible liability. And they made it annoying!",2025-01-25,1
I have to depend on the chase app because I moved and there are no Chase banks in my town. I was a big fan of the app right up until they demanded an update that does not work. I now can't use the app because it is locked up with the update demand. Now that I can not use the app for banking I'm guess I have to open an account with another bank that has locations in my city. It's a shame they make no allowance for users who can not get the update to work. I am now VERY UNHAPPY.,2025-04-22,1
"1 star for blocking screenshot. This prevents me from saving my own confirmation numbers and breaks my entire way of tracking all my bills. Because of this poor design decision, I have to do a less secure workaround of taking photos of the screen and texting it to myself. I might not keep my card if you don't fix it. Citi doesn't make it hard and waste my time just to pay my bill.",2025-02-07,1
"It is very stupid for Chase to only allow you to verify your account from the cell phone APP instead of the text message, and they only recognize 1 device. I changed my phone and they still sent the push message to my old phone. I had to call 2 times to get this changed to my new phone so that I can log in from my computer. For people without smart phone, they provide no solution.",2025-02-28,1
"The app is acceptable because it works. It's simple, I can pay my bills, the Zelle thing is fine, but I hate Chase. I avoid all banking with Chase wherever possible due to an awful experience I had with a local branch manager. If I could eliminate it, I would, but regretfully, this app has worked consistently for years.",2025-01-03,1
"Though they claim they sent a notice, there is nothing in my alerts nor has anything come by mail, they lowered by available credit by 10k even though I've never missed a payment on any credit card in the last 15 years, because they felt my overall credit usage was too high. My credit score was hit hard due this move and NOW my credit usage is too high and this also hit my credit score hard!",2025-01-24,1
"Does not open app when clicking links in Chase emails. Previous: Push notifications to authorize desktop logins from Firefox unabailable. So many clicks to do anything other than view balances. Why do you need to confirm every navigation action? I've already said I want to schedule a payment twice, you do not need to give me a popup to ask me a 3rd time. The product owner @ Chase is clearly not a user of the app.",2025-01-13,1
"I am a legally blind user, and the most recent iteration of this app has the font small enough that it is difficult for my fell-sighted wife to read it efficiently. You people seriously need to fix this, and you need to fix it right freaking now. Your font was small enough, and in some areas it was simply not big enough, but at least it was legible in most areas of the app. This is ridiculous! FIX IT!!!",2024-12-06,1
"Absolutely the worst app of its kind. Slow, cumbersome, recent redesign makes it impossible to find anything, important information does not load and then it times out or crashes. Using the website is infinitely easier than this dinosaur. Update: now the app has decided that I am never connected to my network. This really is a POS app.",2025-01-09,1
"One word: search. It does me almost no good to search using only transaction amounts. It's unbelievable to me that I can't search using the description. The web is the same way. The app does other things fine. It's not incredible, but it generally works. If you want to make it useful, let me search like a human being.",2025-01-08,1
"""I am very disappointed with Chase Bank. I used their credit card only one time to purchase an iPhone, and within just 12 hours, my credit score dropped by 25 points. As soon as I noticed, I immediately paid off the full balance and closed the card permanently. I trusted Chase to protect my credit health, but this experience was very frustrating. I would not recommend their credit cards to anyone who values their credit score and financial stability.After my bad experience i used discover credit",2025-04-25,1
"Is does not update, it does not show charges pending if you call and have a charge pending. It does not have any live agents. The app is not seamless. There are tons of issues that literally affect your credit, your financial situation - because it will cost you a lot if you think you can rely on this app at all to help manage your account. This has been by far the worst experience ever with any credit card company. I would never EVER recommend this to anyone. Ever",2025-01-27,1
"The worst bank, even when I don't use the app. Some of my accounts can not be accessed. Called them several times to correct the issues, but nobody knows how to fix it. This morning, I found out that I couldn't view my credit card account. This is very annoying. Chase Bank got some serious IT issues, among other things. They need a good shakeup at the top, IMO. Stay away.",2025-02-25,1
Tried to log on. Got a message to update app which I already did yesterday. Updated again. Message won't go away & it blocks my screen says I need OS 6.0 or higher. I'm a senior citizen & I don't know what that means. It worked beforeu even if it wasnt great but now I can't even log on. Why bother offering an app if u won't allow people to log on. Typical Chase BS as always. I'm uninstalling. Thanks for messing it up worse Chase. Get customer service. 😠,2025-01-17,1
"I've used the app for years with no problems, but within the past 6 months, the app has become SUPER GLITCHY. It seemed to be a steady decline. At first, it just wouldn't close when I finished banking. Then, it was delaying being able to see recent transactions. Today, I couldn't see my transactions at all. As soon as I would click anywhere on the home page, it would crash and log me out... What's going on Chase?",2024-07-08,1
"Unable to log in. It required password, text contact, biometric registration, and scanning one's driver's license, which is ridiculous since that's more than you'd need to launch a nuclear missile. It won't scan my driver's license after carefully composing the picture as requested, holding the phone as still as a sniper, and adjusting lighting for glare. I wasted nearly an hour trying to log in, then gave up. At this point I'd rather cancel my Chase account than jump through any more hoops.",2025-05-19,2
"Almost every time I try and use the app, it won't let me sign in. Even after I enter my password, have them call me with a code, and then have a picture of my driver's license scanned, it will never confirm I am me. I get the message for me to try again later, only for it to do the same routine. It only let me in when I first started using the app. The app would not let me update any information the few times it granted me access. Not worth the aggravation to use.",2025-05-20,2
Was a great app. It only works somewhat. only lets you look at your accounts. It killed fingerprint login and wont allow you to make any changes. You can see everything about your igsisting accounts but when you try to look or due anything else it tells you that it is unable to connect to Chase Bank and to try again later. Has been doing this for a couple of months. Makes one question how secure and safe it is. uninstalling for now. It raises to many questions to be safe.,2025-03-06,2
"I have great credit score, multiple credit cards with them (4), and a checking account - not enough to prevent them from closing one of my accounts bc I hadn't used that card in a year (card hadn't been working so I ordered a replacement for it). I find that pretty ridiculous so I just opened a Citi credit card and checking account and will eventually be transitioning over to them. Highly recommend understanding your client's total credit/banking picture with you before doing something dumb AF.",2025-04-03,2
"I have a masters in cs with additional degrees in math and physics. I have done the coding for interest accrual for other banks. Chase is not handling this correctly for the following situation: With a 0% balance transfer, and then make any additional purchases in a statement cycle and pay off the purchase balance every cycle and decrease the balance transfer amount, they incorrectly are calculating how much interest to charge on purchases. Customer service failed to open a support ticket. 👎",2025-03-31,2
"Update: Issue still persistent in Pixel 9 Pro. The text appears above the icons in the bottom menu. I own a Pixel 7 Pro, and this issue has persisted since I started using the device. On another note, the budget planning feature is somewhat limited because it doesn’t allow users to create new categories. Additionally, it would be helpful if we could pin this feature to the home page for easier access.",2025-04-11,2
"Every day, I try to log in but it takes multiple times. It freezes (spins wheel forever) then I finally get a message after closing the app multiple times and logging in. The app makes me ""verify"" my information and send a text, with a code. I then have to enter my code and password. Then I have to reset my fingerprint login again. I have tried to reinstall it several times. (Samsung Note 20)",2025-03-29,2
"GET RID OF THE FINGERPRINT SIGN IN NAG SCREEN ! I dont use the fingerprint sign in ,I use a password. Too often, when I sign in, I am promted to setup the fingerprint so I can sign in faster next time. I could sign in to my account just fine if they didn't bother me with a nag screen about signing in faster. The fingerprint nag screen needs a 'dont show again' option. This prompt is not helpful it's actually an obstruction.",2025-04-20,2
"Password reset every time. Chase is much less secure because their password requirements are so bizarre. Adding additional elements or characters risks triggering one of their automatic rejection criteria, and a longer password is less likely to pass their validity test. It's worrisome that they are so out of date on best practices protocol. They're essentially forcing use of a third party password manager or making us write them down.",2025-05-15,2
