Review,Date,Stars
Very glitchy and unable to access 9 out of 10 times.,2025-05-21,1
keep getting locked out. call customer service and after 3 calls lasting 20 to 30 minutes was able to log in. locked out again today,2025-05-21,1
"So I transferred over from Wells Fargo to BMO and I made 3 deposits one for both my checking and savings account for 350$ each and one deposit for 500$, for no reason or explanation my two deposits for 700$ total were returned back to my closed Wells Fargo account but my deposit of 500$ made it through just fine, and BMO screwed this up and won't admit to it so I'm just out 700$ , I have proof and the transaction numbers for the money Wells Fargo sent back to BMO but i still have not received it",2025-05-18,1
"After years of no issues at all, for the last few months the app locks me out of my account every couple of days. I'm on my 7th password and have to call in to get it unlocked because I'm not charging it anymore. The phone reps tell me I'm entering the password incorrectly even though I'm not. This last week has gone to daily lock outs. I talked to a supervisor a month ago. I've never had an issue like this with any app. They aren't giving me any choice but to leave.",2025-05-15,1
bad,2025-05-15,1
"cuidado son estafadores, cuando abren cuentas a alguien es truckero o dispasher le congelan la cuenta para que pierda su dinero y solo lo pueda recojer en la sucural asi me lo hicieron. El peor banco que he visto",2025-05-14,1
"As of today, I can no longer access my account using the app...don't understand why. 😔",2025-05-09,1
"This bank has to be one of the most frustrating banks I've ever had the misfortune to use. Website and app are always down. Their actual atms and bank tellers never count my money correctly. it's like they're skimming off the top of our hard earned money, and we just let them get away with it. Can never connect with anyone over the phone to talk about any of this either cause Im always on hold for 30 minutes. Good lord. 0 stars.",2025-05-08,1
completely intolerable response time to cash cheque's virtually for new members. as a new member I found It hard to swallow that I had to wait an entire week for the same deposit I had as before. going without your pay till the next pay date and not sure to expect if the next one will have the same issues. completely off putting for new members to want to continue to bank with you. rivals like PNC may offer better online banking not sure at the moment if I will keep the account.,2025-05-05,1
"I haven't had an account since 2023, bank of the west was better and the merge with y'all was terrible. My question is why yall sending me a email talking about you guys closed my bmo zelle account?? I don't even use y'all so lose my information already 😂😂😂",2025-05-04,1
zelle disappeared on the app can't use it at all,2025-05-03,1
Gotta be the worst bank. I ever had no Lie.,2025-05-02,1
Acts up all the time now! block you out for no reason. as an update I reinstalled the app and it worked for a little while start doing the same thing again! I uninstalled it again. I will use the internet from now on.,2025-05-01,1
buggy and basic startup type of bank,2025-04-25,1
I'm reporting you all to the Better Business Bureau. I am going to close my account with you all. You all are the completely worst bank I've ever dealt with. i just left your bank branch and you all take $30 out of my account? I'm reporting you all. Bad Business practice.,2025-04-24,1
"I had BMO for awhile and the app sometimes does let me go in, but now recently It keeps saying unregistered phone sign in! Are you kidding me? I don't mind doing the steps but again with the same issue. App won't let me send Zelle pay either.",2025-04-19,1
it seems to never recognize my information. I am definitely not resetting my password. It might be worth the hassle of finding a new bank since bmo can't figure out their online app.,2025-04-18,1
would not recommend bmo to anyone.,2025-04-18,1
downloaded app to try to get my 80 yr old dad his rewards points because they canceled his card for no reason. he called and asked why and they basically said because they could and didn't know why but they owe him rewards of 147$ and being on a fixed income that meant alot to him. he spent hours on the phone multiple times and all they did was send him back and forth until an old retired man got tired and gave up. Dirty tricks from a dirty company. never missed a payment and this is how your t,2025-04-18,1
The mobile deposit is basically useless. It used to work and it just glitches out now.,2025-04-17,1
worst cc company ever seen,2025-04-17,1
"Most recent update removed the option to pay only the statement balance. Now you can only fully pay off a credit card or select ""other"" as the payment amount. Assuming this isn't a bug, seems a bit sleazy.",2025-04-15,1
"app glitches out, doesn't transfer funds",2025-04-15,1
"horrible bank after offered a CC, they closed the account without warnings . Thank God I had another card with me at the moment. This card declined when I called. The surprise account has been closed, lol great !!!",2025-04-13,1
Closed my credit card with no warning that I've paid on time for 3 years and never gone above 30% usage on. Also the app sucks. Don't bank with BMO.,2025-04-12,1
App much like the bank can't do much for you.bmo customer service phone support wait times are 1 hour to 1 1/2 hour.Save your time and money(your time is worth money)and go with a different bank.You can thank me later.,2025-04-06,1
I don't like how you have to change the filter every time. I would like to see all my transactions for the past 30 days. I do not wanna see just the last 2 days. I don't like changing the filter from custom to 30 days. Stop taking money from my savings without letting me know your scam for paper statements. money eaters in America 🐷,2025-04-04,1
"I enjoyed the app until I went to make a credit card payment and they removed the statement balance option so now you have to navigate to the cards statements, search for the previous month's pdf, write down the statement balance, then go back to make a payment, select ""other"" and type your statement balance. Removing this already existing basic feature from the app is very scary from BMO.",2025-04-03,1
An appropriately garbage app for an appropriately garbage and incompetent bank. 2 years post-merge with my local branch and neither the app nor any online function actually seems to recognize that I even HAVE an account.,2025-04-01,1
"Still having log in issues, not getting any notifications of transactions. Even talked to a representative & still having issues. What is going on with this app",2025-03-31,1
"this past month has been endless ""lockout"" experiences, app has become useless and unusable",2025-03-30,1
"It has been terrible the past month. You can't log in, just error codes, just go online and sign in, this app has been worthless to me, I can't pay bills waiting 2 days for it to let me log in without an error. Do better BMO, I'm ready to switch banks",2025-03-29,1
"crashes often, it takes for every to go to different areas of the app, it doesn't delete people on zelle too easily, this app sucks. I'm ready to switch banks",2025-03-28,1
bmo has lock me out of the app and hijacked my money,2025-03-27,1
