Review,Date,Stars
"App isn't working and there's no way to let them know, you can call the number in the app but they'll say they can't help.",2025-05-24,1
Worst customer service. Tasks requires being repeated and having to call customer service multiple times for the same unresolved issue.,2025-05-23,1
can't use my card,2025-05-23,1
Ads while looking at my past purchases? Are you kidding? I'm dropping this bank.,2025-05-23,1
wants too much info.,2025-05-22,1
"this bank is so corrupt.& greedy btw. if your account is hacked, they will not reimburse. Don't fall for their credit cards! triple interest have a year!! beware !!!",2025-05-22,1
"Never get there credit card, they will reduce your limit without informing you, destroy your credit no matter payment history is 100%, Discover is Best.",2025-05-22,1
the app doesn't allow you to open unless you continuously update it. I don't have time to keep updating my phone space so I can access my money.,2025-05-22,1
too much bs,2025-05-22,1
doesn't work on ule fone,2025-05-22,1
does not open on Android 14,2025-05-21,1
Annoying in your face banners. Chill out Chase!,2025-05-20,1
"Almost every time I try and use the app, it won't let me sign in. Even after I enter my password, have them call me with a code, and then have a picture of my driver's license scanned, it will never confirm I am me. I get the message for me to try again later, only for it to do the same routine. It only let me in when I first started using the app. The app would not let me update any information the few times it granted me access. Not worth the aggravation to use.",2025-05-20,1
fingerprint scanner is not working.,2025-05-20,1
"Where is my refund?! Chase representatives keep telling me different things, my refund is in an email that may or may not actually come from chase, or it's been mailed as a check that never showed up. I asked that it simply be applied to my balance but instead I am told I have to keep waiting for a check supposedly mailed more than a month ago. Chase, you're acting like a scammer. Please help!",2025-05-20,1
"The hardest app I've ever used... if you need Zelle, go somewhere else. doesn't show the whole account number and if your kid lost a card and your trying to replace it, it only shows last 4 of the card number. how do I know the last 4 of a lost card??? I have 3 kids on here. I have to call my wife back home to check the other kids cards so I can do process of elimination. this is so overwhelming annoying and ridiculous. I wish I could give your app a worse rating.",2025-05-20,1
"terrible,they lock your account,have you update & load your phone number & Contact information,lock your account for Supposed Fake suspicious activity,an then wont unlock Said Account because they claim they are unable to verify you because the System wont allow a Call to your phone number in there system,which failed to Properly Store the Entered account Info, After giving you Electronic phone and Email Verification,On the Same Phone Number,they claim that their System doesn't recognize.",2025-05-20,1
employee decided to do the tip without my consent,2025-05-19,1
stay,2025-05-19,1
I cant get it in my phone dont know why,2025-05-19,1
"Unable to log in. It required password, text contact, biometric registration, and scanning one's driver's license, which is ridiculous since that's more than you'd need to launch a nuclear missile. It won't scan my driver's license after carefully composing the picture as requested, holding the phone as still as a sniper, and adjusting lighting for glare. I wasted nearly an hour trying to log in, then gave up. At this point I'd rather cancel my Chase account than jump through any more hoops.",2025-05-19,1
"The ID verification sucks, EVERY single verification app that is used will not read a barcode on a Florida license. It is very frustrating, this is a major reason why I lose access to accounts. Makes me want to close my chase account.",2025-05-18,1
Stupid bank. For multiple reasons. I will just say that every time you want to send zelle transfer you need to get text message code and also scan id. Every time! Just move to other banks,2025-05-18,1
