Review,Date,Stars
I have my password saved and the app says it does not recognize it. I am not able to access any info.,2025-05-24,1
App still won't load statements and now I can't even make a payment.,2025-05-23,1
I'm really not impressed at all by citibank from the moment I got approved for the credit card I had issues with suspicious activity before the card was even activated. Now a few years later for no reason my account has been like reset and I have to re link my personal loan account and re add my payment method as well as re register my card. I would not recommend citibank.,2025-05-23,1
Before y'all decide to do business with these ripoffs go read the reviews and also check how many law suits they have against them. BAD HORRIBLE and definitely DISHONEST,2025-05-22,1
"The app needs some serious work everytime you log into it bugs out and won't load anything making it a real pain to do anything with your account, it will make you not want to bank with them that's how bad this app is.",2025-05-22,1
not good!,2025-05-22,1
By far the clunkiest and buggiest major credit card app. It times out constantly and has consistent periods where nothing will load.,2025-05-22,1
"Might as well drive down to the bank this app sucks. Can never check my statement. The app consistently has trouble loading, if it loads at all.",2025-05-21,1
"Fix biometrics. Yes I tried reinstalling/updating, no the issue keeps coming back.",2025-05-21,1
cannot use,2025-05-21,1
ripp off!!,2025-05-21,1
"nothing ever loads, loading screen for every option and it never gets past loading screen. random logout while in the middle of looking at information on the app and upon logging in it gets stuck on loading screen having user force close just to try again and hope it works correct",2025-05-20,1
Absolute worst company out there. Over a year and they still cannot fix their online payments!!! Now they Are refusing to take a payment over the phone. I suggest any other company besides this one. Complete nightmare to deal with,2025-05-20,1
l hate updates. I'm in a hurry and l have to go through this,2025-05-19,1
"Update. Impossible to use this ""fng"" app. Garbage. App is tricky on sign in but overall very easy to use.",2025-05-19,1
can't use on my android phone,2025-05-19,1
Will not login! Just keeps loading!,2025-05-19,1
"The app broke and caused me to miss a payment. When I select the option to pay, it just shows the loading icon forever. When I try to contact support with the app, it does the same thing. It's been over a week and it still doesn't work. I was eventually able to pay using the mobile website, but it was acting strange as well (it let me log in with just my password and no user ID).",2025-05-19,1
"the fact that I need 2 different sets of credentials to use my personal and business accounts, and I can't link them somehow like every other credit card is very inconvenient.",2025-05-18,1
SUCKS!!!,2025-05-18,1
crashes everytime I put in my password,2025-05-18,1
"Less than useless. Will not accept any current password at any point, regardless of whether last reset via web, app, or phone.",2025-05-18,1
"this is the worst bank you can deposit your money in, I don't recommend it to anyone.",2025-05-18,1
"Citi doesn't credit me with merchant offers.. MISLEADING. CUSTOMER SERVICE AND DISPUTES ARE HORRIBLE. IF YOU DO GET SOMEONE ON THE PHONE WITH SOMETHING YOU CAN'T RESOLVE ON THE WEBSITE, YOU END UP TALKING TO SOMEBODY INCOMPETENT IN INDIA",2025-05-18,1
the app never let's you log in to pay can see account can see what's on card and what's due but app crashes everything and never let's you enter pen to pay your bill,2025-05-18,1
"my purse was stolen in February. I called the credit bureau and had all my accounts frozen. I could not and Did NOT make any purchases in over 3 months. I asked for a new card with a new # and got a card with fraudulent charges on it. Reported the fraud the 1st week of May. Asked for a new card. Was told a new card would be sent, still nothing. Now more charges!!!?",2025-05-17,1
"Still unusable, the worst customer service on the planet. Wants me to email them. How about this, why don't you just fix the app? Duh!",2025-05-17,1
"my rating is for the customer service not the app, because there is no obvious way to provide feedback for their service. because the reps are not held accountable, I assume this behavior just carries on. I called to ask questions about a flex plan. The rep couldn't answer my questions and after putting me on hold several times for several minutes, she pretended she couldn't hear me and screamed over and over ""because I lost our connection I will end this call now"". My connection was perfect",2025-05-17,1
"I go to make a payment and it just gets to an endless loading screen. Terrible, terrible app. And considering this affects the ability to actually make a payment and could induce late fees or interest fees, I sense this could become an actual legal issue.",2025-05-17,1
terrible large bank with outdated policies and foreign customer service,2025-05-17,1
"Do NOT do business with these people. I've got 20 years as a loyal customer, no missed payments no issues whatsoever and tens of thousands of dollars in transactions. I have $90 worth of fraud hit my account and immediately report. They side with the scammers and say I have to pay the charges. F U Citi... card destroyed, will never do business again!!",2025-05-16,1
when you click on make a payment the app hangs and you have to close amd restart it,2025-05-16,1
"My experience with your customer service representative today was very frustrating as I experienced extreme difficulty in understanding her... I believe she is sending me a copy of my April statement which I not yet received... I received my May statement today... and still have issues with recurring charges, which are fraudulent and unresolved by Citi... I will be in contact with your fraud department again once I receive my April statement..",2025-05-15,1
"Unable to sign in. No matter how many times I attempt to change User ID or password, it always fails. Good thing I have email reminders and can get in that way or I'd be sunk!",2025-05-15,1
"past 3 months, I have not been able to make my payment on the app. it takes 20 minutes to load! Awful! Awful! Awful!",2025-05-15,1
barely loads and do what I want,2025-05-15,1
"sooo, Citi abandoned age old customers sign ins - in favor of some new mangers' fantasies of becoming famous for ""inovation""?",2025-05-15,1
The app freezes when loading or refreshing a new page.,2025-05-15,1
If you have any issues their customer service will juggle you like a clown. They dont care about loyal customers and they have the highest APR out of all my cards and have always refused to come down even if you plead with them. Theyll only help you if you stop paying so apperantly thats in your best interest if you need help from them and want them to notice.,2025-05-15,1
"it was good until they closed my account for 1 bounced payment, no warnings no retry, just closed it.",2025-05-14,1
terrible,2025-05-14,1
