Review,Date,Stars
bad,2025-05-21,1
I try to pay my bill online through Doxo. I forgot my password so when I try to reset my password they sent me a number and when I plugged it in the number they said that I need help and on the third time they told me to reach out to them and when I reach out to them they say that they can help me to change my password they sent me another verification number when I plug it in they tell me that I have problems to reach out and that repeats over and over and I never changed my password..,2025-05-13,1
"The free version is just one massive ad for the paid version. UI is a trainwreck as well, and I imagine that mainly has to do with their need to shill the upgrade at every turn.",2025-05-09,1
"Payments for hrubs don't go thru, even though my banking facility is on the doxo account. I don't understand 😕 thus for, I can only give you a negative review, I wish to cancel my doxo account immediately",2025-02-05,1
Hated this site! Not clear at all.,2025-01-25,1
I don't think being charged 15 dollars a month to pay my already too high bill is fair.,2025-01-22,1
Don't use it is very difficult to get of this account. You are attached along with your information. Don't install.,2025-01-21,1
CAN'T get sign on been trying for months,2024-11-10,1
This app Isn't helpful. The companies that allow you use this app for payment don't even know that you have paid using the app. It takes forever for them to relay the payment. It does not go through directly to the company that you are actually paying. BE CAREFUL THIS CAN CAUSE YOU TO BE DELIQUENT!,2024-11-08,1
DEVIL'S fiLM,2024-11-03,1
I would give less than 1 star. I never wanted a subscription. I only used this to pay my elderly fathers medical bills. Total rip off.,2024-10-28,1
"This company will screw you in any way they can!!!! They will accept any amount of payment but absolutely nowhere will they show you how much you owe. Another lowlife, dishonest, thieving, and just plain evil company that is guaranteed to piss you off just as much as I am!!!",2024-10-16,1
"I would check to see if I owe anything, and when I click to pay bill, it would not reveal if I owe anything, just telling me how much I want to pay.",2024-09-10,1
Why is it app not working? I pay bills in 2023 but in this year not works. But they buying in my account every month fee charge???? 🤕🤕🤕,2024-09-09,1
This app is cloned,2024-09-02,1
would never work,2024-06-15,1
The app took it upon itself to try to make a payment without my permission and delayed my payments making some payments late. Your payment isn't paid right away. Instead they want to make sure your payment is completed with them then transfer the money to the intended company.,2024-06-13,1
"Awful support. Awful! I'm on the chat thing for an HOUR and I'm still not to the answer to my question which was very simple: How do I setup auto pay for these bills. This is the ONLY choice for some bills and companies which do not accept digital payments or automated ones, so here I am AN HOUR waiting for an answer with their chat system. Get it together guys. It's 2024. Why do I have to wait to GIVE YOU MONEY? Come on.",2024-06-10,1
Use this to pay my girlfriends bills so my wife won't know about the other girl is this secure and she won't find out,2024-05-16,1
DO NOT USE THIS APP YOU WILL BE BEHIND AND IN COLLECTIONS THIS APP did not pay the bills I payed using this app. I'm ALWAYS ahead on my bills then next thing I know I'm getting letters stating I'm two months behind and at risk for termination!!!! Someone needs to be held accountable because this is a SCAM!!!!!! I Wondered why it said only 1 bill payed but 5 accounts I'm so angry I could scream!!! Do NOT use this app if you want to pay your bills to the actual company you owe them to. Fair warn,2024-05-03,1
Do not use.,2024-04-08,1
"No good says I have an account but I have no access to it, can't change password or nothing alike the robot answering keeps directing me to do the same thing back and forward",2024-04-01,1
Why does this app just not work? It hasnt been letting me login and when i pay my bills it takes so long that i get charged late fees. Its ridiculous,2024-03-31,1
