Review,Date,Stars
Zelle is broken after update. Used to work fine on this device!,2025-05-23,1
I am unable to sign in over the past few weeks. I tried multiple times. I changed my pw and re installed the app,2025-05-22,1
"App had worked just fine for a few months, but all went down hill when I stopped getting alerts in my texts whenever money was put in or taken out of my account. Worst of all I can't even sign in on the app anymore, I've re downloaded the app multiple times just for it to say something along the lines of couldn't sign in try again later and something about trying again when I have internet when I literally have my internet connected. Great app until now.",2025-05-19,1
alright where do I start? the security of this bank is actually one of the worst out there. they are constantly getting leaked and thats why alot of you are dealing with fraud issues. on top of that their fraud customer support agents BARELY speak English. do yourselves a favor and go find a different bank. Huntington is a scam.,2025-05-19,1
can't get to my credit card information local branch is so rude that I would not go back,2025-05-16,1
errors out when anyone tries to log in,2025-05-14,1
The random days where they take all of the non Huntington ATM transaction fees all at once. I'm going back to Citi.,2025-05-14,1
Has been fine until most recent update. Now the app won't even open. Please fix!,2025-05-13,1
can't change any thing and keeps spelling wrong and don't work for anyone who is starting out very hard,2025-05-12,1
"I had a fraud prevention case on my debit card and had to cancel it. this was on Sunday. They said it would take 3-5 business days for a new card unless I wanted to pay an extra 25 dollars for expedited delivery. Business day number 5 comes and still no card. when I call them to find out why, they said it's 3-5 days from when they decide to process the new card. for some reason, they felt they could just wait until Wed (day 3) to ship it leaving me no access to my money for over a week.",2025-05-09,1
worst bank there is,2025-05-09,1
"This is thee worst app ever, all I wanted to do was make a car payment. App deleted.",2025-05-09,1
"Not customer friendly. Each and Every time not allowed access/ quick view etc., without issues. 00000+0 horrible",2025-05-08,1
all the 5 stars are paid for this app is absolute trash and Huntington bank is the worst i wish tcf never sold to them,2025-05-07,1
I can't even log in because it keeps giving a connection error,2025-05-07,1
app is always down,2025-05-07,1
updated the app and it stopped working altogether. it was bad before the update. but now it doesn't work at all.,2025-05-07,1
"i dont know what yall did, but you broke your app. it keeps telling me i cant log in because of connection. i have full bars as im trying this. youtube works, facebook works but not this app anymore",2025-05-07,1
"app doesn't work half the time, not an internet issue",2025-05-07,1
"Update: Update: I can't sign in even though I changed my PW, keeps telling me something went wrong, and it won't let me log on. I've updated everything. Still, nothing helps, I've even Uninstalled it and reinstalled it. This is getting ridiculous, can't access my account. It has since improved. I can't give you a star rating because there are still issues, but not nearly as bad as it used to. It keeps rejecting my password and keeps kicking out my fingerprint.",2025-05-07,1
"horrible app, aside from the other already stated complaints (transfers not going through, balances dipping into the negative out of nowhere, I have overdraft turned off so not sure how that happens) recently I haven't even been able to login bc of ""internet connection. doesn't matter where I am or if I'm next to the router. I do not know what else to do at this point.",2025-05-07,1
Worst bank ever I can not wait to ditch this damn bank I was supposed to have gotten paid yesterday and here it is almost Friday and still no paycheck HERE WE GO AGAIN ALMOST 7AM ON SUNDAY AND THE APP IS STILL DOWN!!!!!! YOU GUYS NEED TO CHANGE THIS EVERY SUNDAY THING TO MAYBE ONLY 1 OR 2 TIMES A MONTH,2025-05-04,1
This app used to work great for me. Now most of the time all I get is a green screen and I can't log in. Very upsetting because I used to like this app for checking my account balance and making deposits. Now I can't do anything. Now it's not even letting me transfer funds from my checking account to my savings account. This app is losing its favor,2025-05-02,1
"All I need is Huntington app installed on my phone, your garbage does not gibe what I need",2025-04-25,1
very bad expirance,2025-04-25,1
"This app desperately needs a redesign, it's so clunky (much like the rest of the Huntington experience)",2025-04-20,1
"I will be closing all of my accounts due to not being able to access my account on a regular basis. your maintenances are ridiculous. There is not a single banking app, or any type of app for that matter, as awful as yours.",2025-04-20,1
"I have had this app for a couple of years, and as of recently I have had to reset my password for an unknown reason, and then when I tried to create a new password, I received the message that my request couldn't be honored. I can't even login at all to see what my account balance is! This is beyond frustrating!!",2025-04-16,1
bring back the old app. this new one isn't capable with my phone 😢🤬.,2025-04-14,1
"Zero information about required residency before downloading. It's called ""national"" bank, what a joke",2025-04-12,1
i would give no stars..the bank and its app...let's say Monday you purchase something for $20 and on app it shows ypu spent $20 on Monday but the place (amazon) doesn't take it physically until Wed it changes to show wednesday so you cant keeptrack of money(money there then maybe not). Credit card well if you send money from debit to credit in their same bank and app it can take 3-5 days but they take it instantly. nothing but attitude everyone you talk to and the standby cash Noone can help,2025-04-07,1
"Love the app for the most part. But, when it comes to the budgeting tools it's rarely available.",2025-04-04,1
terrible experience,2025-04-03,1
"mobile deposit crashes the app, please look at credit unions instead everyone.",2025-04-02,1
The bank picks and chooses who they breach their end of their account contracts with. My experience with Huntington Bank has not been a good one. I will be closing my account and start using a digital bank.,2025-04-01,1
"It was working fine for depositing checks over the past year, but about 2 months ago, it stopped letting me deposit checks. Ech time that I now press the ""deposit"" tab, it locks up, gives me the same ""service is currently not available "" message, and makes me log back into the app. I'm on a galaxy s21 phone.",2025-03-30,1
"""Zelle doesn't work on modified devices. Update or install default operating system"" This app is otherwise completely redundant. Huntington's website allows everything the app does.. except for Zelle. That's the only point to this app. I can't use it without reflashing my phone's ROM. Not happening.",2025-03-27,1
I've been a customer since 2013 but somehow my accounts were covered to platinum at a rate of $300 a year per account. Be careful using Huntington.,2025-03-27,1
horrible,2025-03-26,1
latest update on 3/22/35 messed up credit card payments.,2025-03-22,1
"it won't let me update the app so I can't do anything online. very inconvenient and annoying..Huntington is a hassle, seriously considering switching banks.",2025-03-19,1
had this app for years now it says it's not compatible to my device and I can't look at my account anymore . It says I need to upgrade my app but can't upgrade either . What the hell is going on here ?,2025-03-18,1
App continues to have problems. facial recognition login hasn't worked in months now. S23 Ultra with all latest updates and fresh installs. Going to try dei stalling and reinstalling the app AGAIN. fresh I stall and now it just gets stuck when trying to approve face ID and Fingerprint ID acceptance. how pathetic can this be? I am getting to the end of patience with this back and am likely leaving to another bank.,2025-03-18,1
"galaxy note10 no longer supported, useless",2025-03-18,1
They decided that my phone is no longer supported by this app. Why should I have to spends hundreds just for an app I only use for one basic feature that should NEVER require buying a new phone for. I'm uninstalling.,2025-03-17,1
Says not compatible with my phone anymore. No similar ones to use either,2025-03-17,1
It doesn't work on my phone.,2025-03-15,1
Can't get on my app because they say app is out data wont let me update on my phone,2025-03-15,1
Not compatible,2025-03-15,1
Stop changing the app!!!!!,2025-03-15,1
Now unable to use unless I purchase new phone. No longer compatible om your device. Am a senior on limited budget. I rely on access to account when making purchases. I don't have funds to run out and purchase new phone. NOT HAPPY!!!,2025-03-15,1
Cant update app anymore it won't let me on Google play so will lose acces to information,2025-03-15,1
The new update is not working for my phone,2025-03-14,1
I had to update my banking app and when i tried it deleted the app and said it wasnt compatible with my phone. This sucks i already had the app on my phone.,2025-03-14,1
"Well, it was a good app for the past 8 years when it worked. Now, I can't even use it anymore, because you suddenly decided to add ""Update to use the app"" - however, I CANT UPDATE IT ANYMORE, because you suddenly decide that anybody with an older device, low income, that cant afford a new one like the corporate executives making this decision, should be locked out of their accounts! This is completely wrong and pathetic. IDC if the newest version works on my device, LET ME USE WHATS INSTALLED!!",2025-03-14,1
Can't update,2025-03-14,1
They're a bunch of crooks and liars. I really would not recommend this bank to anyone. Get away from this bank as fast as you can!,2025-03-13,1
Started my own business use this as my bank and the checks that were given to me by a client or not allowed to be deposited Under Suspicion of fraud or a high risk so needless to say I lost my payment my client was unable to pay me so I was unable to pay the people I hired to help me Huntington himself said they're going to close my account and yet it's still open negative,2025-03-13,1
You don't text me for hackers anymore. I'm not happy. 3 months now you have allowed a hacker to take 3.50 from your drive thru ATM. Why are you not protecting like all other banks do. I'm so mad at you because you don't protect me. I'm gonna look for a different trusted bank. Also Greenville MI bank never calls back and never answer phone. This is NOT HOW YOU RUN A BUSINESS,2025-03-12,1
So stupid I can't enroll more than 1000 with zelle transfers hate I wish they could fix this:/,2025-03-12,1
One of the worst bank experience imo,2025-03-11,1
App keeps crashing once it gets to the disclosure screen,2025-03-11,1
"I forgot my password and have been trying to reset my password for the last week or so but everytime I receive the same message of ""Unexpected error, please try again later"" I called customer support and they were no help, I need to actually go to a branch and get it manually changed there. Ridiculous.",2025-03-09,1
"I hate it. Slow, takes forever to open, extra unnecesary steps, always ""running out time"" even I closed it and waited. Is the worst app I ever used",2025-03-08,1
Insanely difficult to redeem rewardst,2025-03-07,1
The new update took away the ability to see your current balance including overdraft! 😤,2025-03-07,1
"""Love knowing where your money is? Wrong bank! lmao get cucked"" - the entire company",2025-03-06,1
Don't bank with this bank they will use your money to pay for a company that you did not want to pay and pay it anyway then you owe your bank money. Scam bank been with them sent they started and they don't care about you as a customer or how long you been with them.,2025-03-05,1
Hands down the worst bank. Made payments and they kept adding money to my loan. Called to figure it out and they hung up immediately.,2025-03-05,1
Well I accidentally wrote a check for a bill pay... I forgot to cancel it so now they took my online access away and I'm 100 mi from home working with no gas in my truck... After I verified my ID and everything with the call back it should be back when this is ridiculous,2025-03-05,1
"I've banked with many banks, this one decides to close your account randomly with no warning. Go bank with chase if you want to actually have security to your money.",2025-03-05,1
I still don't understand why I can't screenshot MY account information on MY device... this is dumb,2025-03-05,1
Simple but very inconsistent. App glitches more often than not when I try to make loan payments. Another issue caused one of my larger payments to duplicate. Bad app that honestly gives a lot of grounds to sue Huntington. Do not use it or Huntington if you have other options available.,2025-03-04,1
"Constantly under ""maintenance"" so if you keep your card locked you will not be able to unlock it. They do this all the time.",2025-03-02,1
"Can't ever access my money this is the 8th time so now I'm suing you.a business owner like me don't have time for this bs Huntington should know better.shame on you! Now $4,500 just disappeared and can't access either of my two accounts huntington says I don't have an account",2025-03-01,1
"Not a good experience. First of all it's hard to sign in and I kept updating it but is the same situation and even after I signed in, it showed me "" something went wrong"" so I couldn't see my bank accounts. They should fix this problem, it goes on and on for too long, also after the manager at Huntington made me opened a checking account besides the money market account, she told me that after 90 days I'll receive $ 400 money into my checking account but it never happened. What kinks of bankers",2025-02-28,1
"Have had my account go negative 4 times in the last 3 weeks due to the absurd amount of time it takes huntington to process transactions. I have email alerts for every transaction, and they still find a way to order transactions to make it go negative. This the only account I have problems with. Theu used to be awesome when I first switched from 53. Ive canceled my direct deposit with huntington. Use cashapp or similar. Huntington ain't it.",2025-02-27,1
"Watch your account the alerts they send are not accurate with what's happening with your account. Just because the alert says the money has been taken out, your account even says the money has been taken out that don't mean that they processed and took the money",2025-02-26,1
Can't login. Screen does nothing no matter if I login with thumb or face recognition. What's going on?,2025-02-24,1
The app and the bank exist in the past.,2025-02-20,1
Opened an account and they closed it once I got my card in the mail.,2025-02-19,1
Huntington bank stole 1000$ from my business checking account. Would not recommend this bank.,2025-02-14,1
Literally the worst bank and worst app ever. It doesnt let me connect to external banking accounts on this app. What a joke.,2025-02-13,1
