Review,Date,Stars
impossible to add external account,2025-05-24,1
please make this available for the note 8 again. I know my phone is old buy we arent all rich.,2025-05-24,1
Garbage. doesn't show all transactions when filtering. it'll briefly show a payment when viewing credit card transactions and then less than .5 second will show no transactions at all. for a banking app from one of the largest banks in the world. you should be embarrassed,2025-05-24,1
no money,2025-05-24,1
well I just open up an account I have no way of accessing it I gave the person my name and my number and all my information and unfortunately I was having a very stressful day so I don't remember the password and on what I believe is what it's supposed to be as the username is not the same so I'm a little confused here we're not starting off in a good way need to be more tolerant than patient with the elderly it's rather offensive the way that the it and all the Gen Zs and the new ways and,2025-05-24,1
booo,2025-05-24,1
app sucks you can never login and even if you set up a new password it will reset and you will lose all your money. do not recommend,2025-05-24,1
Bill Pay does not work. Doesn't work on my Android and AppleOS devices. Reinstalled it and still doesn't work. Same thing on my previous android. Talked to their tech support - - no help. Ultimately told to use their website. Very disappointing. 05/22/25 Addendum Bill Pay still doesn't work. If I could rate this app negative stars I would. BOA Technical no help!,2025-05-23,1
not compatible with my phone,2025-05-23,1
very bad service for someone who is not phone app smart you guys need to DUMB it down,2025-05-23,1
try to open my account but app keeps logging me off,2025-05-23,1
All of sudden my phone is not compatible! i can no longer use my boa app or download a new version well I guess bofa won't mind loosing my business after 45 years,2025-05-23,1
less than one star. update needed but cannot update. useless,2025-05-23,1
why should I upgrade my phone for you stupid app,2025-05-23,1
I'm on a samsung Galaxy S8. I go to use the app that tells me it needs to be updated the update takes me here and then it tells me it's not compatible with my phone anymore I use the app every day I am very very unhappy!! I cannot afford a new phone just to use an app,2025-05-23,1
"I leave my savings account under 100.00 for two weeks, and you charge my account $8.00 UNBELIEVABLE ! GO ahead and take out $8.00 out of my checking if this babk needs the money. you people really know how to hurt the poor people in need. the economy is in bad shape. You just want to drain the poor people even more. I have a friend who is well set, and you never charge him ATM fees. I'll stop here.",2025-05-23,1
Unable to access BOA app on this phone. Very AGITATED........,2025-05-23,1
Unable to use anymore after new update. My phone is no longer compatible.,2025-05-23,1
"it's exhausting, it just doesn't work right.",2025-05-23,1
"app works, bank itself sucks. like seriously, other banks offer at least 3.0% apy this bank? much, much lower. 0.04% at max is an insult. Do yourself a favor, do your kids a favor, teach them about finances, and get them the future they deserve. BoFA is not a bank, just another money pit.",2025-05-23,1
THE CUSTOMERS SERVICES AT BANK OF AMERICA IS HORRIBLE WAISTING A DAY TO TALK TO THEM 4 HOURS ??? THE SHIPPING A FRAUD,2025-05-23,1
"There is a bogus account (i.e. NOT MY ACCOUNT) on my dashboard that I can't get ANYONE at Bank of America to remove from the app for over a year now! I have gotten nothing but the runaround from customer service reps to managers. They assure me I'm not responsible for this account, and it won't affect my credit. Then TAKE IT OFF MY BA APP DADHBOARD!",2025-05-22,1
bad experience? new update says my phone is not compatible,2025-05-22,1
not user friendly,2025-05-22,1
they basically forced me to get this app at my bank. it is a shame that people need a phone just to make it more convenient for the employees who don't do very much already,2025-05-22,1
It tells me I need to update app. When I try to update it tells me my phone is not compatible.,2025-05-22,1
App no longer compatible with my device. Thank you.,2025-05-22,1
"One star is 5 too many! Read the eula for over an hour and did not understand! it is verbose, convoluted, obtuse, obfuscated, and obnoxious! how can we agree to nonsense? Where is the desktop application for a Linux computer?",2025-05-22,1
app is saying it's no longer compatible with my phone,2025-05-22,1
Bank of America did a great job with their online services in the past. Their latest app is no longer compatible with my phone.,2025-05-22,1
my phone is not compatible for their updates so therefore I can't use my app which you require an update for that you do not provide for my phone,2025-05-22,1
not intuitive,2025-05-22,1
"Can't turn off annoying Erica or her stupid insights. I don't want your insights on my account! You can turn off notifications but it still gives you alerts in the app for all the stupid insights. I don't know who thought it was a good idea for BOA to constantly tell their customers their account is trending towards zero, literally the last thing I want from a bank. Some might find it helpful but most don't and there should be a way to turn it off. So annoying gonna close my BOA account of 20yrs",2025-05-21,1
they don't hel,2025-05-21,1
Theives. Call FDIC IF THEY STEAL YOUR MONEY. THATS the Only way you get your Money Back,2025-05-21,1
"Recently they changed the mobile alerts for charges made online. Before it would show you the dollar amount, so if you remember your charges you could see it and know where it came from, or if you saw an amount you don't recognize, you could then go into the app and look where that charge came from. Now it just says ""debit card has been used online, check for details"" so now EVERY SINGLE charge has to be checked to keep in top of any potential fraud. It's incredibly frustrating.",2025-05-21,1
"I wouldn't recommend this bank to anyone who is seeking for good service. I have couple accounts with them, personal and business since 2010. I also own few other accounts in other banks and I can tell you they're the worst when it comes to service.",2025-05-21,1
could not redeem my points.,2025-05-21,1
"App keeps freezing, will not open.",2025-05-21,1
Everything was fine until they decided the phone I have is not worth the update. I was told to get an updated phone. That's great if they're going to pay for it. In my opinion this a problem with the app development! I believe the app & it's updates should be applicable to any mobile device.,2025-05-21,1
Keeps asking to update my phones operating system I am not going to get a new phone so BofA you better keep supporting older operating systems because not everyone can afford to buy new phones,2025-05-21,1
horrible,2025-05-20,1
it sucks all I want to see is my transactions and don't need all the other B/S,2025-05-20,1
"Your Erica ai is just awful. One day it'll do what I ask, simple things like show me transactions with business name, the next, it just offers me an agent to call... Why? Why can it do something one day but not the next",2025-05-20,1
This is not a user-friendly but a complicated website,2025-05-20,1
bad service they place an hold on everything Chek or zell not good for business or personal,2025-05-20,1
Terrible for managing my auto loan. have to use the website.,2025-05-19,1
cant deposit check online,2025-05-19,1
"'WHEN' it ACTUALLY WORKS, it's Great. BUT it ALWAYS Tells ME that i am 'not connected to the Internet' (to use it) AFTER I've logged on already & having to wait several minutes at a time just to be able to GET to the FIRST 'ACCOUNTS' screen. Then, a never-ending 'BofA isn't Responding' Caption follows & I just LEAVE bcuz i CAN'T SEE trying to continue using it. At this point, it's only serving to take up data & save information from my device; I'm gonna 'uninstall' and do business elsewhere.",2025-05-19,1
Doesnt work with android,2025-05-19,1
Can not pay bill online.,2025-05-19,1
"you cannot set up auto pay, you cant talk to a human, you have to go in person, the bank is a freaking joke. and never send a bill so you get if you miss a payment because you have no bill",2025-05-19,1
completely useless to me.,2025-05-19,1
"The phone automated services are a cursed nightmare. If the phone service requests my account number, it should at least have the decency to wait until I finish writing it to try to use it, or let the customer write a character like * to tell it finished writing the number. Phone services should not use acronyms instead of full words when referring to important data. It is super inaccessible.",2025-05-18,1
Never had a problem banking with BOFA. We are Family 💗,2025-05-18,1
"Looks like a high school html project. The user interface is 0 informative, 0 intuitive, and 0 usable. A star for asking for my password suddenly one morning instead of usual biometrics and locking my app in the most inappropriate moment 😡",2025-05-18,1
"The app gives misinformed information. it's never right, the app is terrible.",2025-05-18,1
Biometrics is making online banking too complicated at this point. Fingerprints get messed up from working>then I have a hard time getting into my accounts and keeping track of spending and bills. stuck in this loop and tired of it.,2025-05-18,1
"bill pay stinks, extremely slow",2025-05-18,1
always an issue 🙄,2025-05-17,1
"app crashes constantly, unable to zelle from mobile app, emailed support and no answer. app is useless if we can't send zelle.",2025-05-17,1
rhis is the lowest service ever yoi guys steal money from my account and tell me that i owe you but i don't.,2025-05-16,1
"They refuse to share my APR with me. Once I pay off my card, I am never banking with Bank of America again.",2025-05-16,1
dam slow application,2025-05-16,1
compatibility issues with android,2025-05-15,1
HORRIBLE,2025-05-15,1
can't recognize my credentials,2025-05-15,1
keeps crashing,2025-05-15,1
"too many ads, pop ups, and things I don't want that make this app cumbersome. more development was spent on selling you stuff than designing a nicely functioning app. kinda what to expect from a greedy bank",2025-05-15,1
Very good,2025-05-15,1
"Useless app. I have not been able to make payments with the app for months, always says confirmed payment, and then it returns the payment. I'm then charged late fees. The app does not allow credit/debit cards. I have to call to make payments. So why have it?",2025-05-14,1
"this is the most complicated bank application I have ever used. any time task, like making a payment, setting up auto pay, adding a new bank account to pay you credit card with, EVERYTHING requires an extensive amount of time trying to figure out where and how to do it. careful, they won't let you pay your credit card with a new bank account until they send small deposits to your account to ""Verify"" which takes 3 days. this is to make you late on your payment, don't be fooled. worst bank",2025-05-14,1
there's a problem with autopay I've been fighting for 4 months. canceling a scheduled pmt doesn't seem to work. autopay of full balance attaches a fixed amt that doesn't update if balance changes. sad for a large bank,2025-05-14,1
I like this card but the app is pretty awful.It's difficult to navigate and very confusing. they make it difficult to pay by displaying multiple cards to pay when there's really only one and I can never easily find amd/or change my cashback category. It's frustrating.,2025-05-14,1
After my acct being hacked I ordered a replacement card that never came so I got the virtual card only for it to just not be available to see and be locked now I have to drive 20 mins to a financial center to see about getting a replacement card but atp I just want to close my account and be done,2025-05-14,1
Why can't BOA make it possible for their customers to be able to decline a merchants subscription.,2025-05-14,1
This app is not compatible with my phone after the app had an update. I opened up a ticket about this issue and never got a response can't use the app on my phone very frustrating,2025-05-14,1
to much wai o time,2025-05-14,1
"By far the WORST banking app I've used (out of the 9 I use on a regular basis). Set up paperless billing from the get-go, but then never received a statement, and couldn't set up a payment account via the mobile app (had to be in a web browser). Just discovered you can't even make a custom payment amount through the mobile app - only the statement balance or the minimum amount due. What a joke! Why even have a mobile app???",2025-05-14,1
"Every time I make a payment with Zelle, it submits the request twice. I click the submit button once and get the message about having recently made a similar payment. The first time I thought nothing of it (I had made a similar payment a few weeks ago to the same recipient and thought that that's what it was referring to). Not so. My attempt to send only $1000 resulted in $2000 being sent. Just had the same thing almost happen again. Shoddy app.",2025-05-14,1
simply disgusting application. very poor quality. impossible to log in. application at the level of 2009.,2025-05-14,1
Your site has very little information. I have been trying to pay my payment since the first of this month and it wouldn't let me. I have screenshots of trying. now it says I'm 4 days late on my payment. I don't want my interest rate increased or a late payment on my record. trying to contact anyone about this is impossible. your online bot to answer questions is worthless. you really need to simplify your site .,2025-05-13,1
GOT A NEW CELL PHONE NOW I CAN'T LOG INTO MY ACCOUNT AND NO ONE KNOWS WHY AND CAN'T GET ME IN 😤,2025-05-13,1
getting very tired of getting my card shut down at the gas station I regularly visit. Just had a very necessary surgery payment shut down my card. I really wish I could leave zero stars.,2025-05-13,1
Very difficult to maneuver. I tried going to see my accounts but couldn't get to it. I pressed all the options and I see words not my actual account. all I wanted to do is to check the activities in my accounts but got frustrated and wasn't able to see it.,2025-05-13,1
this is the most complicated app to navigate. I can't wait to pay it off and dispose this card!,2025-05-13,1
DOES NOT SERVICE OLDER ANDROID DEVICES! CUTS OFF ANY ABILITY TO USE ZELLE!!!,2025-05-12,1
"Are you kidding me, bank of america? Why so many updates?? Just let me check my accounts. And get rid of that useless Erica. on a subsequent date I am letting you know that you wont allow me to use your app on a 6y old phone. c'mon moynihan.",2025-05-11,1
ppor,2025-05-10,1
"A royal pain to use when depositing checks, ""Inconsistent ammount error,"" keeps popping up, this is a real issue for SMB, I hope they fix this issue quickly.",2025-05-10,1
trying to reorder checks and your robot is sending them to the wrong address. I submitted an address change which has been completed however the still has the old address.,2025-05-10,1
crash all the time specially with zelle,2025-05-10,1
"terrible experience, I could not contact specialist from abroad",2025-05-10,1
I need to get into my account right away,2025-05-10,1
this is the absolute worst mobile app and desktop app I have ever tried to use. All it does is loop you around to things that don't let you proceed with the transaction that you are working toward. it's absurd I've been on the phone with them for multiple times in 2 months and they have no clue why their websites and their mobile apps don't work properly. You can't even make a payment or transfer money into your account. I don't recommend this for anyone. dumb programming and operational results,2025-05-10,1
can never get logged in,2025-05-10,1
"I avoid using their card and app for 90% of my purchases because the app doesn’t offer an option to automatically pay the full statement balance, unlike Amex, Chase, or even basic credit unions. This design increases the risk of interest charges, especially when busy or distracted. It feels like a trap, and for that reason, I can’t rely on this card and app for everyday use or recommend it... no.",2025-05-10,1
Slow log in .Says app is unavailable,2025-05-09,1
It said my ohone is not comparable ..is smart phone!!!,2025-05-09,1
A Nightmare on any Street!!!!!,2025-05-09,1
log into my banking account and Bank of America says that I need to upgrade the app but it won't allow me to. what are my options,2025-05-09,1
the nastiest bank in america,2025-05-09,1
app keeps logging me out when trying to pay a credit card bill. not sure if it's a glitch but it doesn't make sense. All of my accounts are linked to the same account but I can not make a payment using online banking or the app. Curious what's going on.,2025-05-09,1
"Here we are in 2025! What a mess! I should've gotten a new bank 3 years ago! Too many ""insights"", but when I need to dispute a charge, it's just a mess! Erika is zero help, and after multiple tries contacting someone, human or otherwise...I'm ready to find a new bank.",2025-05-09,1
Very bad!!,2025-05-09,1
more confusing than it needs to be,2025-05-09,1
won't let me on line. tried several times. Thia app sucks,2025-05-09,1
bad,2025-05-09,1
monthly maintenance fee is bs,2025-05-08,1
frustrating,2025-05-08,1
Terrible update,2025-05-08,1
no good,2025-05-08,1
You can't set up a reoccurring payment for your Bank of America card through the app. The only thing this is good of is looking at your balance and the many promotions they are running,2025-05-07,1
not good,2025-05-07,1
they keep stealing money.,2025-05-07,1
it took 10 tries to deal with the fraud department!!! Twice at the branch! Only one special lady was able to correct the problem.,2025-05-07,1
this app sucks all other banking apps are so easy this one is no good,2025-05-06,1
difficult to operate .,2025-05-06,1
never dependable,2025-05-06,1
zelle not working someone sent me money that isn't there,2025-05-06,1
bank of America is terrible,2025-05-06,1
Erica cannot answer simple questions.,2025-05-06,1
your app is far behind the times. I do everything electronically and BOA is beyond frustrating. you can't even make a payment on the app.I have actually thought of closing my account because of how frustrating it is to make a simple payment.,2025-05-06,1
"Absolutely sucks! Not allowing autofill of form fields of major password manager app. Did not use to be this way. Seems as technology improves, things get worse. Great 21st century so far.",2025-05-06,1
Always horrible and furrustrating. I am really unhappy and upset. It is only to shut up customers to get help by calling. Overall BOA is all about to keep customers money and provide no service at all in return.,2025-05-06,1
does not let me into my account,2025-05-05,1
Don't know if this is a scam.,2025-05-05,1
"App is good however when it comes to "" Deals"" there needs to be ONE TAP where u can activate all new deals instead of doing them one by one,it would be much easier and less time consuming.....",2025-05-05,1
it is not easy to set up automatic payments!,2025-05-05,1
not user friendly,2025-05-05,1
Horrible it's like Fort Knox trying to get a human being. And like riding a merry-go-round saying and typing the same thing to a computer. What's the point of customer service if I can't speak to them as a customer????? 🤬😳😮‍💨,2025-05-05,1
does not work!!,2025-05-05,1
New app is not compatible with my device. My device is less than two years old.,2025-05-05,1
payments made are not recorded on this account. balance sheet. account numbers for my checking account are not correct we,2025-05-05,1
they are stealing from my account,2025-05-04,1
