Review,Date,Stars
horrible app it never even opens i have to uninstall and re-download it multiple times sometimes to get it to even work,2025-05-23,1
"app fails to fully launch, gets stuck on the key bank loading screen.",2025-05-23,1
"Have been banking with KeyBank for over 6 years and overall, KeyBank is one of the worst banks I've ever dealt with. Their website interface is clunky, their processes are outdated (e.g. cannot make extra principal payments with monthly payments on Home Equity loans, online bill pay is clunky and not user friendly) and their ATMs are difficult to access. There are MUCH better banks out there who are better aligned to customers' needs/wants.",2025-05-22,1
the lack of available ATM machines and the few that are left in my area?? broken. You cost me money to gain access to my money because you take away ATM's and can't keep the few left running. Do better,2025-05-21,1
"Easily the worst banking app I have. Runs slow. Loads for minutes on end before it let's me into the app, if it even let's me in the app. Beyond slow!...then your response is the most elementary of responses ""Delete and redownload...make sure you have strong wifi connection""...lol...I'm not 12....updated, still beyond slow",2025-05-20,1
"Account sync is NOT in real time. Timeline is completely off. none of my receipts match up to the bank summary!!! A company took money out of my account unauthorized, keyBank was made aware of the situation and still charged me late fees. I have a key bank for years and I never overdraft. Not happy.",2025-05-20,1
this bank and app sucks never seems to work and turned in check at bank and waited 10 days for it to clear,2025-05-20,1
not working..,2025-05-19,1
check depositing doesn't work,2025-05-18,1
"I have been unable to use the zelle function for over 5 months now. I have tried going back to previous versions of the app and updating to the newest version with no luck. zelle is really the only reason I use the app at all other than the occasional balance check. I have had to use the website to send money over zelle and every time I do I have to sign in again, do a 2fa text for my key account and then another 2fa text for zelle. This issue alone is making me consider changing banks",2025-05-18,1
"I'll never understand why this app never works. 3 phones in 5 years, had the app 3 different times and it never works. Can't ever get past the Hello screen. I had to download ANOTHER app just to check my bank account balance because I can't even use the the banking app for my bank.",2025-05-17,1
"Is there a bank with an app that actually loads? Keybank has an endless loading screen every time, even when I uninstall/reinstall the app.",2025-05-17,1
slow slow dosn't open 90% of the time,2025-05-16,1
Key bank is horrible.,2025-05-15,1
This app always stays loading on Gray screen never let me in to login.,2025-05-14,1
"It is trash, it does not work when you need it to!!",2025-05-09,1
"Always freezes, never wants to open the app. Too many bugs",2025-05-09,1
on my android phone I get the key logo but often won't come to the login screen,2025-05-08,1
I went paperless for my statements. How do I download the bank statements without getting the line we don't have permission to open the file?,2025-05-05,1
"horrible features and support, cards don't deliver half the time, direct deposit is never consistent and often late as hell, all around horrible bank.",2025-05-03,1
"I'm at the bank in Woodburn right now at the drive-thru Teller I've been here for 22 minutes and I have a car behind me waiting as well not sure who the lady is but they definitely blow us off at the drive-thru window here some of us have disabilities and cannot stand that long in line inside the bank we are important like the rest, everybody else",2025-05-02,1
"Let me take a screenshot if I want to... It's my phone, my security.",2025-04-30,1
This app never works. Maybe 1 out of ten times I try to open it the app it opens. Very frustrating when im trying to see how much I have in checking or if I need to transfer money to checking and it won't open. update: I did delete the app and reinstall. It seemed to work good for a few days only. Back to the same thing. I've been trying several times now right now to open the app and nothing!,2025-04-27,1
"TRASH TRASH TRASH Slow AF, freezes randomly, useless alerts that don't even work (and why is there no minimum account balance alert?), and why the hell did you remove the memo line from transfer on both website AND app?!",2025-04-27,1
I don't have the fingerprint recognition anymore this is sad,2025-04-24,1
This app never works . . . How many times do you have to uninstall and reinstall this app to have it actually work? this app sucks!!,2025-04-24,1
deposit a check feature never working for me,2025-04-22,1
they keep shutting my card off and it disrupts my stuff for payments,2025-04-21,1
There are always issues online with banking with Key. And they are rarely explained unless you call. Now the don't even let you know if they don't make a payment for whatever reason. I'll be switching banks when my home equity is paid off.,2025-04-21,1
it never loads! come on plz fix this it used to be good!,2025-04-19,1
"Recently it just won't let you sign in. So it's completely useless. I cleared the data, restarted, re installed. Every option. It just asks for a login, then sends a code, then gives up and says the login isn't right.",2025-04-17,1
App no longer works after the update.,2025-04-15,1
this bank post stuff wrong so I get a fine,2025-04-14,1
doesnt download.,2025-04-13,1
"Darn thing never opens anymore. Useless if you can't check your balances on the go. Will be uninstalling. Never have this problem with the other 3 banking apps I use. update:4/11/25 Still experiencing the same problem. It still is hit or miss if this app will even open. I uninstalled, reinstalled,reset phone (galaxy S 25 ultra)and still get stuck at the hello screen. Not one other banking app i use has this problem. But this problem has been going on for months with no fix. Very frustrating",2025-04-13,1
"Key Bank app didn't transfer my notifications when getting a new phone, installing and signing into the app so I missed important account notices and they only refunded 2/4 subsequent fees. The free checking account I've had for probably 15 years just started randomly charging me $7 monthly fees for not meeting an activity threshold on the account that didn't exist when I opened the account. We'll see if they'll refund those but I'm definitely leaving KeyBank. Shady, shady grubbers.",2025-04-09,1
"Seriously, how can such an important app be so bad? It doesn't even open most of the time, and yes, my phone and the app are updated to their latest software versions.",2025-04-08,1
Horrible experiences at Canandaigua and Auburn Branch. Tellers lied to me about the max amount of a check you can cash at both branches. 23 years I've had the account. I'm not trusting KeyBank with my money and neither should anyone else. Called customer service and they stated there is no max amount of a check. KeyBank check being deposited into KeyBank account and gotta wait for the funds to clear. Absolutely ridiculous to be lied to. Do not trust KeyBank tellers. They make there own rules!!!,2025-04-08,1
the app sucks and so does the physical bank itself.,2025-04-07,1
Sending money. key bank Add a memo? click add a memo. can't add that Character typical key bank stuff haha want add wait can't add that lol.,2025-04-05,1
I can't receive push notifications,2025-04-05,1
"The fact that I cannot download and print off pages of my own banking history without having to contact a branch just to have them question me why I need my own personal data and then have to explain to them why I need specific dates for my own data is appalling. This is ridiculous, they do not need to know any of this whatsoever, IT IS MY DATA!! This needs to be fixed, there is no reason why they have to know every aspect of my personal life!!! *Update - Specific dates, not a basic statement",2025-04-05,1
"can't even log into the mobile App! will have me log on, then takes me to the browser, sign in and verify SSN, plug in code then it keeps circling back around. worst app I've ever tried using",2025-04-04,1
"updated review. Why do you insist on being the way that you are? Gosh this app is the worst. Every time they make an ""improvement"" they break something. This isn't rocket surgery, guys. Since the last update, I don't get any push notifications. I have cleared the cache, uninstalled, reinstalled, reset my phone, shut off the individual alerts and turned them back on. You really should fire, immediately, everyone even remotely related to this app. This garbage has been going on for years.",2025-04-04,1
there a reason ur app logged me out and deleted my sign in info? destroying my trust in seconds with issues like that.,2025-04-04,1
this app sucks. locked on boot screen. app won't load.,2025-04-04,1
I'm generally opposed to putting things on an app that could just as well be a website,2025-04-01,1
"app is super slow takes forever to load up. I have top tier internet and a brand new device. takes forever to load and app had a delay compared to computer. I love Keybank service, but the app is archaic. Most frustrating app Ive dealt with compared to other banks.",2025-03-31,1
did everything they say still freezes up also. found out this bank holds checks after they have been deposited. supposed to receive it n last Wednesday of month talked to ss and they said it's your bank that holds it for three or four days. not them telling you to.,2025-03-31,1
It's not really secure,2025-03-30,1
"It does not work on older smartphones, and they lock certain features, like mobile depositing, behind the app. Terrible corporate nonsense.",2025-03-30,1
"I just want to be able to see my funds and transfer money easily. I'm new to key bank, this app sucks.",2025-03-30,1
slow,2025-03-29,1
"Garbage app and a garbage bank, nothing ever works. The app freezes and causes me to restart my phone and early pay no longer works, contacted customer service and they treated me like I was an idiot. I will be canceling my account and finding a new bank!",2025-03-28,1
very hard to get open,2025-03-27,1
was working fine this is my 2nd time removing the app rebooting my phone and still nothing it's embarrassing when your out in public and can't get the app to open,2025-03-26,1
no longer with bank closed 3-4;of 6; accounts in under 60 days no warning so I closed all of them.,2025-03-25,1
"The app is broken on S24 Ultras. Quit trying to blame VPN's, we don't use those. IT IS ON YOUR END, FIX IT!",2025-03-23,1
wow app not working in the middle of the day. glad you don't install updates in the middle of the night when most people are asleep,2025-03-23,1
"This app keeps getting MORE glitchy and MORE slow. At this point, I'm looking for a new bank.",2025-03-23,1
"Non functional for multiple users with access to the same account. I've put in tickets with customer service, but it looks like I'm going to have to wait for the primary account holder to die before I can successfully get access without his login credentials. (Which he has given me freely) Edit: the response below has been reviewed and found to be not accurate",2025-03-22,1
This ap is very slow and often will not even open. I have to try to open it SEVERAL TIMES to get to my account.,2025-03-20,1
I hate you,2025-03-20,1
I would say that over 2/3 of the times I try to use this app it won't load and won't work and I have a brand new phone and Wi-Fi. very very frustrating,2025-03-17,1
"The app no longer opens. In order to use it, I have to uninstall then reinstall it every time",2025-03-16,1
I am unable to log in. The logo only shows up at the start up and doesn't get passed it and im waiting over 10 minutes so I can't even add my credentials.,2025-03-11,1
"I got a samsung galaxy S25+ this app takes forever to load and sometimes it doesnt even load, I keep Uninstalling and reinstalling it. This is frustrating. My wife has the same issue. Keybank fix this issue please",2025-03-10,1
"I'm having trouble with this app. It locks up and won't open. I've un-installed it and reinstalled it , turned my phone off and still locks up.",2025-03-07,1
"This app goes down like my ex on prom night. Edit: Key responded by telling me to make sure my phone is updated. I have bad news for them, ""Its not me, it's you."" Do better.",2025-03-07,1
atm empty of cash. unable to process my withdrawal request. Completely inconvenient since it was before their lobby hours. shame...,2025-03-06,1
"""Not compatible with your device anymore"". Am I supposed to buy a new phone just because your developers fail to make a compatible app update?..",2025-03-06,1
half the time you can't get the app to load to the login screen. You have to have great signal to use the app. I stopped using key bank all together because of this.,2025-03-05,1
