Review,Date,Stars
"got first advance paid back,24hrs later can't advance me goodbye Cleo your a piece of 💩 app",2025-06-12,1
Took 14.99 from me. they won't let me use all the money on my card through a transaction nor through ATM withdrawal,2025-06-12,1
horrible experience,2025-06-12,1
you know you guys are scam you are for a cash advance but only if I subscribe to some plan to give you guys money to pay for that plan but why would I need a cash advance if I had money to pay for a plan the plan costs more than what an advanced you would give me would be,2025-06-12,1
they take out unexplained fees over and over and claim it's partial repayment even though they take it way before due date and they never deduct what they take from the balance and there's no way to contact them other than the useless AI chat bot that doesn't understand anything and answers no questions and keeps telling you to contact customer support when the bot is the only customer support they have,2025-06-12,1
it's broke and won't work what's wrong with it,2025-06-11,1
not worth it. too many problems,2025-06-11,1
The app makes you sign up for a monthly service and charges you before you find out if you are eligible for a cash advance...only to deny the request for money.,2025-06-11,1
you might as well not get this app. I've been trying for like 30 mins now to figure out why I owe a statement balance when all I've been doing is using the cash advance portion and paying it off and now its saying I owe over 200 dollars and there's nothing I can find that says why like if the card i was using was actually a credit card me thinking oh its just a card for the account like the digital card to get the advance. I closed my account.,2025-06-11,1
"App had a nasty way of communicating. I did a lot of work to get passive aggressive douche bags out of my life so when an app does it, hell no. These people are the worst.",2025-06-11,1
Says I'm eligible for an advance but an error message constantly pops up. Complete waste of 25 mins signing up.,2025-06-11,1
just try and get customer support.... you won't,2025-06-11,1
I proceeded to sign up and go to get a $40 cash advance. but it says I couldn't do it at this time after it said I could get it a few times. but when I finally went to confirm it it said something went wrong and I couldn't get it at this time. when I go to delete my account it says I have to make repayments. so at this time I can't unsubscribe or delete my account and I haven't even taken anything from Cleo!,2025-06-11,1
POS don't work and won't let me cancel do not get,2025-06-11,1
"HORRIBLE!!!! Take hidden fees constantly and don't even show why, and I didn't agree too. even when I tried to find out why they said oh well pretty much",2025-06-11,1
constantly sends bs notifications,2025-06-11,1
"despite all appearances and menu options, PayPal is not supported.",2025-06-10,1
not reliable at take money out of your account when you cancel there app,2025-06-10,1
app was working great until the update is not working at all,2025-06-10,1
App doesn't work. I tried creating a new account and then got stuck on a page saying its too old and requires me to update. I LITERALLY just downloaded this app.,2025-06-10,1
terrible from sign up to connecting..never even could connect banking. if I could zero stars,2025-06-10,1
stay far away from this company. sent over 100 emails. no answer. no phone number. will scam you and can't contact them.,2025-06-10,1
"I requested an advance, never received it, and the chat is dumb and doesn't understand when I ask where my advance is. worst app ever! plus, it's impossible to get a customer on the phone.",2025-06-10,1
"This recent revamping of the Cleo app is awful. I loved Cleo up until this point. I now have two main issues with this app since this revamping. The first issue is admittedly insignificant--i hate how the fun, purple theme was changed to an ugly and depressing brown. My other issue is a lot more concerning--I can't cancel my subscription to Plus! Cleo acts dumb when I tell her I want to cancel, and I keep getting a 'there was a problem' message when I try to cancel manually. This is awful.",2025-06-10,1
you have to pay monthly subscription. and if you want to cancel the app doesn't let you and its extremely difficult to get in touch with real customer service and the app is very bugged and glitchy,2025-06-10,1
"I loved this app when I first used it. today, it sucks. I cannot speak to anyone for additional help. the app doesn't load correctly. I cannot switch debit cards to make my payment. it's ridiculous",2025-06-10,1
"Wakes me up at 4am, hard for me to sleep, always dinging my phone! wants payment right away, when I get paid monthly!",2025-06-10,1
not helping me.,2025-06-10,1
"Site is very buggy, their charging me 6 dollars per month and won't let me borrow or cancel the subscription.",2025-06-10,1
backstabby,2025-06-10,1
"BE AWARE!! It has saved me plenty of times, since the new update its a SCAM!!! (06/2025) They tell you that you qualify as a builder get an extra $80 and you have to pay. But you have to transfer your own money to qualify. Then after you cancel they reset your time to get money, by the way they never mention that anywhere!!! I canceled this service.",2025-06-10,1
The app tracks your spending unwarranted. Sends you too many messages that aren't funny or ok. There was an option to stop the tracking that has now mysteriously disappeared. The help options are few.,2025-06-09,1
The worst app ever is not guaranteed but just want to take your membership payment and find excuses.,2025-06-09,1
"Do you ever read one star reviews and take the risk anyways? Just DON'T. Use Empower or Earnin, take it from someone who's used all 3 of these apps including Cleo.",2025-06-09,1
trying to unsubscribe and the AI bs is giving me the run around.,2025-06-09,1
Never can get advance,2025-06-09,1
they have not returned my money back to my bank account for more than 45 days from my credit builders account after they closed the account i am very dissatisfied with this app be careful it will steal your money it got me for $198.22,2025-06-09,1
so far this is one of the most dumb of all dumb apps I want my money back,2025-06-09,1
"I used to have zero problems with Cleo, I used it regularly and had good experiences with them. Now, after 1 simple mistake on my part with a repayment on an advance, and attempting to fix said mistake, their customer service has declined significantly. Trying to get a hold of a live person is impossible, every time I attempt to message anyone or get help, I'm ignored. On top of that, even with my balance at zero now, the app STILL claims I owe them money. I will never recommend them again.",2025-06-09,1
"I keep getting an error message ""Something went wrong. Try again.""",2025-06-09,1
"don't believe what they said ... they check your bank, your credit and they charge monthly... offer way low from promises to get $250 and up👎👎👎 all cash advance are the same..",2025-06-09,1
"Everything positive I said about Cleo is now out the windows. They NOW divide your cash advance, letting you only take out half of the full amount at a time. This practice in itself is scummy and unethical. Because instead of charging $7.99 for express once, NOW they charge express twice, getting an extra $8 out of you. Avoid at all costs. deleting my account after payday.",2025-06-09,1
internal server error when trying to connect bank acct,2025-06-08,1
I cancel my subscription and there's still charging me,2025-06-08,1
hidden fees read the fine print,2025-06-08,1
you want to charge me a fee to help save me money. you want me to pay you to save me money. that just doesn't make sense. why would I pay you? scam. there is no concern from me I just know your a scam app. try again with your nonsense reply,2025-06-08,1
I couldn't get into the app I downloaded Cleo and I got a blank screen when I push the open,2025-06-08,1
NOT INTERESTED!,2025-06-08,1
