Review,Date,Stars
looks like it could be a good app but I can't add my bank account. its multiple hoops to connect it only for an email to not give me the link after redoing it all and trying to multiple times,2025-06-12,1
"any app that makes you create an account before explaining you have to pay to access it, is cheap.",2025-06-10,1
"Yet another app that requests all of your personal information, makes you sign up for an account, and then hits you with the ""So, here's our payment/subscription plan..."" jist. And you can bet your bottom dollar (ones I won't be giving to an app designed to help me track and maintain said dollars) that they sell off that personal information, regardless of if you choose to use their services or not. Would sure be nice if Google started LISTING THESE AS PAID APPS AND NOT FREE AT ALL!",2025-06-10,1
"Downloaded, signed up, immediately hit with a paywall/free trial, uninstalled it after that. If you can't offer a free tier with just the basics so we can get a feel for the app and what it has to offer as well as putting in banking info, you are no good. Look elsewhere.",2025-06-04,1
imagine paying monry to have an app tell you how much money you have,2025-06-03,1
it would be great if it would give you pricing options before requiring you to sign up. how does that make sense?,2025-06-02,1
have to pay for an app when I budget for free on a speesdsheet,2025-06-02,1
"I did a search for free budgeting app to help my son out with his bills. I got this. An app that stole my sign in information (email), by presenting itself as ""free"", and then it wanted to charge me $100.00 per year. Pathetic marketing, pathetic app, I won't be using this even if it became free. I cannot stand bait and switch apps.",2025-06-02,1
"Not a free app, false advertising",2025-06-01,1
They grab your information first before being forced to start a free trial. Can't even use the app without subscribing.,2025-05-30,1
pay to use the app when it's about saving,2025-05-30,1
"If your thinking about using this app but uncertain I would say try to find info online. The first thing you see when you open up is a required login. The second thing, is a pay wall. Then the third thing, is the main UI with a blocking popup saying connect credit cards. You are not allowed to interact with anything until you've fully committed to it. I downloaded the app with the intention of seeing what the features/UI are like before connecting my many banks. But apparently its not allowed.",2025-05-29,1
Frequent disconnection issues,2025-05-26,1
"Barely got started, then the ""start free trial"" announcement. I like free apps, and I don't just mean it's free to download.",2025-05-21,1
"doesn't allow me to use it for free, mint was better.",2025-05-21,1
unable to connect to Pennymac,2025-05-20,1
"Immediately requires monthly charge. how are we supposed to have a budget app to budget that costs so much? Developer responded: we save you money to pay for the subscription! lol. when we dont have enough money to get food but somehow they think their app will magically generate money. this app is for upper middle class, just say that.",2025-05-20,1
"App states it has a 7 day free trial then the moment I tap ""Start 7 day trial"" I get an email that I've been charged for their subscription. At best a mistake at worst intentionally misleading customers.",2025-05-19,1
why do you need to share my data with a third party? that is weird and creepy,2025-05-18,1
Too expensive unless you pay for a whole year. Also I don't want to be forced to use Google Play for subscriptions.,2025-05-17,1
"Update:Be advised that if you travel abroad/have foreign transactions, they will appear in Monarch incorrectly. 3600 ARS is approx. $4 US dollars, but my transactions report as $3600 US dollars. There's not even a feature to manually correct individual transactions like this. The inability to correctly interpret other currencies renders this service useless for me. I contacted Monarch & was told the fix is to not link accounts with these transactions, which defeats the purpose of their service.",2025-05-14,1
only 7 day trial. no thanks,2025-05-12,1
"I did the entire setup just to find out that it's only free for 7 days... I'm sure your app is worth the money, but I wish I'd known from the beginning before taking the time to create a profile. If I had the money to spend each month, then I probably wouldn't need your app.",2025-05-11,1
"honestly better then all the others. 5 stars for widgets!!! Changed to 1 star for lack of android widgets. Loyal android users have been asking for widgets for years while Apple users enjoy their's. It's been at least 3 years now, c'mon guys.",2025-05-10,1
does not let you pass by purchase page until you buy subscription,2025-05-08,1
"I cant find how to cancel my subscription. Monarch moneybis a scam. it won't let you unsubscribe once you're subscribed, you're locked in forever. DO NOT SUBSCRIBE!!!",2025-05-07,1
"Horrible, definitely not user-friendly uninstalled right away",2025-05-07,1
forced updates for no reason :) putting a modal up because you want me to update is anti-user. I'll update when I feel like it.,2025-05-05,1
Purchased a subscription and then the app broke its account provider with my bank. Save your money. Update: I decided to give Monarch a second chance after posting the review. I've experienced frequent and lengthy outages since then and their support has been completely unable to provide any useful assistance. They appear to serve mostly as gatekeepers requiring the user to jump through a long list of hoops before acknowledging the legitimacy of the request. I will be taking the refund.,2025-05-01,1
coming here because your app wont let me select what i need to in order to get the help im looking for. Its not letting choose the institution im having issues with either. I have tried 3 times to add my account and it says that its connected but when it takes me to the app it says i need to connect my account. If it connected my account and didnt have it in the app then WHERE DID MY INFORMATION GO?!?!?!?!?!?!?!,2025-05-01,1
Won't sync with Scotiabank,2025-04-25,1
"Recurring transactions is insanely dumb. How can I not mark a transaction as recurring but have to do it manually for every recurring transaction by knowing the exact amount and name of the merchant and date, not to mention it doesn't pick up any pattern whatsoever. An Excel Spreadsheet that cost over 100$.",2025-04-16,1
no free option.,2025-04-10,1
Very expensive,2025-04-10,1
Don't bother! You have to pay!,2025-04-09,1
doesn't allow Multicurrency.,2025-04-08,1
"Monarch worked good at first, but now so many transactions show up, but then completely dissappear. This app works to look at your accounts, but you can't budget until they fix all the problems",2025-04-07,1
Can't use unless you BUY the subscription,2025-04-06,1
You can't use it. There's an expensive paywall. :/,2025-04-05,1
"Worst experience ever! I will create my own budget categories, why ask me if it looks good but don't give me an option to say HELL NO. I know what I want in ny budget and it's not what you feel like giving me.",2025-04-04,1
what they don't mention is that its not a free app. force you for a trial after getting your login data then $15 a month!,2025-04-01,1
should clarify that app have no free option,2025-03-30,1
says it's free but it's really not,2025-03-30,1
"They make you create an account, by having you give them all your information, all before revealing that it isn't a free service. Despicable! You have to pay to use this sly, crooked app",2025-03-25,1
"This app is well designed and very functional, however, they tried to charge me $99 before my trial was even over and I still have yet to be able to cancel it. Contacted customer support with no reply after the AI said it couldn't assist in that problem.",2025-03-23,1
"It worked for a while, and when it did it was great. HOWEVER, now I can't connect properly with my accounts, and the app won't update.... In working with customer service, they are of no help. They are not addressing the actual issue, but instead are asking for screenshots of all transactions not coming through from my bank accounts. If they could fix the connection, that would fix the whole issue, but they are putting all that work on me when I'm the paying customer.",2025-03-21,1
Advertise your pricing before taking my data. A payment plan shouldn't be chosen after providing my PII.,2025-03-12,1
Scam,2025-03-11,1
Forces you to sign up for an account only to block all content behind a paywall. You have no choice but to start a 7 day free trial that will lead to a monthly subscription immediately after signing up for an account. Thanks for wasting my time. Now I'm going to get a bunch of spam emails because I can't get past the paywall to delete my account. 🙄,2025-03-10,1
Half the institutes aren't connecting. The ones that do connect don't show the right amount of money. (Off by hundreds) They are lacking the Bitcoin sites l wanted to connect. ( I didn't expect them to have it to begin with) If u add the feature I wanna be able to use it. And other minor infringements I find annoying.,2025-03-10,1
"Not worth paying. So many glitches. Constantly loses connections and instead of fixing them, you are forced to delete everything you did and reconnect the account. No big deal to them because you are expected to manually create rules. Support is terribly slow and useless. Every existing retail could be added to their data in minutes so it would know that Michael's is shopping and categorize it properly, but they don't. We are currently paying while teaching a bad program basic data. Never again.",2025-03-06,1
the connectivity issues are ongoing and hard to fix even for normal accounts,2025-03-05,1
After some changes recently connections with major banks require reauthorization every day. The support team refuses to admit that something changed and gives generic canned responses. Essentially this app has no relationship with most of the institutions to which it claims it can connect and any change can result in permanent or temporary loss of connection that will both potentially require hours of manual work from you to fix.,2025-03-04,1
Expensive af,2025-02-27,1
"They intentionally make it difficult to cancel a subscription. I had to answer a series of questions related to my reasons for cancelling. The last step was a box labled something along the lines of ""tell us more"". I didn't have anything more to say but I wasn't able to submit my ticket. When I typed something in the box, nothing appeared. I finally figured out the text in the box does not appear until you hit submit. IMO, this is intentional and therefore completely unethical.",2025-02-27,1
"Got it to get rid of my subscriptions, just for it to have another subscription itself. Stop trying make a quick cash grab and make a app that does what it says maybe then u might get better reviews",2025-02-25,1
"Forgot to cancel my trial and got charged for a year. Somewhat ironic for an app that advertises itself from keeping you from doing this. So far this app has cost me about $100 with no benefits above what Mint (which was free) gave me. It also can't sync with my student loans or my car loan, so I can't even see my full financial picture. Not impressed.",2025-02-24,1
I started the free week trial and the app would not connect to my TD or CIBC account.,2025-02-24,1
"I love installing a ""free"" app just to get hit with a subscription immediately after downloading with no option for a free version. Misleading asf.",2025-02-23,1
"Have to pay monthly or yearly, don't find out until after you create an account.",2025-02-19,1
"Title: CSV Import Bug – ""Account Name"" Expects a Number Message: Bug in Monarch Money (v2.0.14) when importing the official CSV file provided by Monarch Money. The app rejects it, saying ""Account Name"" must be a number, though it should accept text (e.g., ""Checking Account""). Tested on MacBook Pro (latest macOS) in Google Chrome. This prevents importing even the provided sample file. Please fix this issue",2025-02-16,1
"I've been using this app for months and have enjoyed it. However, it now refuses to run on my phone as of today, 2/11/25. The website works, but the app doesn't. I cleared the cache and it didn't help. It fails at login and tells me, ""Something went wrong. Please try again later.""",2025-02-11,1
"If this app costs money, say so instead of hiding behind a ""7 day free trial"". It takes a full month to see if a budgeting app is working, not 7 days. It will take that long just to get it set up properly. This might be a great app, but I have been burned by so many others, where they don't work with 2 factor authentication or something else. I am not going to spend money or rush through 7 days testing this app.",2025-02-04,1
"new UI is so flat.. the contrast between the light grey and white is so faint. same in dark mode. preferred the contrast of the old UI. provided better separation between the cards, making the information easier on the eyes. accounts do not sync properly... refresh all used to give me the latest numbers and now it'll say 10hrs ago, 17hrs ago... a lot of these issues make it not worth the price.",2025-02-04,1
NOT FREE. AT ALL. 1. Install app 2. Sign in- Google account or Apple 3. Immediately get screen to start 7 day trial for $100 yearly subscription. No X or option to use any FREE version at all.,2025-02-04,1
I had to confirm 4 times that I wanted to cancel my subscription,2025-02-03,1
"Not worth $100.00 (nor the $50 discount i got), you still have to go through 90% of your statements, and edit them. doent have a live update of financial statements, and you have to wait 3-4 days to sync. Then re-sync, it every 3 days. Then i get an email that says, ""Account disconnected. Reconnect to keep your balances and transactions up to date."" It's like you pay to work. It does look nice. 😅",2025-01-30,1
Requires monthly payment. Not free.,2025-01-29,1
"Terrible at syncing with Canadian banks, especially Tangerine. At least their website is transparent at letting the public know what % of success they have at syncing with Canadian banks. Unfortunately, there is only a 12% success rate with Tangerine. Absolutely fed up that I paid for a yearly plan and now cannot sync. I can try 20 times in a row and it just syncs when it wants to. The app goes multiple days without syncing. Skip this app if you were looking for a syncing feature",2025-01-29,1
