Review,Date,Stars
biometric log in is broken.,2025-05-23,1
"every single time i try to transfer between my accounts, I get an error. terrible banking app",2025-05-23,1
they sucks most time can't wait to change my bank,2025-05-23,1
HOW YOU GONNA BE A BANKING APP AND GO DOWN FOR MAINTENANCE I NEED TO SEE MY DAMN MONEY,2025-05-21,1
biometric not working after updating the app,2025-05-20,1
biometric login doesn't work on a BRAND NEW PHONE,2025-05-20,1
"Worst bank in the US. Closed my account without warning because of a double endorsed check (100% legal) and withholding more than $3200 of my money, and refuse to release. Shameless stealing.",2025-05-20,1
you want me to update but my phone won't accept this update so now I can't even open my account thank you so much for making online banking such a bad experience,2025-05-19,1
"Every time I try to take the picture of the check I'm depositing it says ""use a dark background"". I'm using a navy background. Since when is NAVY not dark?! Fix your app!",2025-05-18,1
"one of the worst banks on the market pushing false narratives ""set up this with our 3rd party to resolve this but in the meantime time we will take as much of your money out of your account as we please"" this bank is a joke and should have more then the most recent class action lawsuits that's happended 0-10 would not recommend keep your money in a shoe box under your bed would be safer",2025-05-16,1
"cant send Zelle payment because bottom part of screen is blocking me from clicking on confirm recipient (has another menu in front of place to click) update on 5/15/2025 still cant send Zelle. I received an email saying ""they will forward your feedback to our Product team in order to provide you the experience you come to expect. Thanks! - JG"" Nothing has been corrected!",2025-05-15,1
I just changed PW and it want to change again. Now it doesn't recognize my User Name and SSN! Wasting my time!,2025-05-14,1
Would not install.,2025-05-14,1
dark mode makes all the text invisible and I can't read any balances. The option to toggle dark mode does not exist like it does on iPhone. This needs to be fixed now!,2025-05-14,1
won't let me sign in,2025-05-12,1
the mobile check won't accept checks. always says the amount doesn't match. This is not true. The app hasn't worked for many months and the bank told me in person the app has issues.,2025-05-09,1
I don't Trust TD bank and it's products.,2025-05-08,1
Tried for a week still can't get it to download? This is really working?,2025-05-05,1
This new upgrade will now force me to buy a new phone for the privilege of using it....in the name of giving me a better customer experience! TD America's most Inconsiderate bank.,2025-05-03,1
Can't get into my account Can't get into my account,2025-04-30,1
this bank app updates too often and demands for another app to be deleted in order to update 💔🤬,2025-04-30,1
not available too often,2025-04-27,1
do not use this bank,2025-04-27,1
