Review,Date,Stars
I haven't been able to use my app for over a week. now. I've called & talked to tech. services for hours no luck. when I try to logon I hit the app & I get a logon page I push on blue strip & I get a White Page & nothing else.. I did everything I was told to do by tech. services. I uninstalled app several times all other apps are working. I've got a really good phone & have been with USAA for 14 years & never experienced anything like this. please HELP ME. Thank you Kat Losh. KATHERINE LOSH.,2025-05-23,1
won't let me make a payment anymore....,2025-05-23,1
"since latest updated the app, it crashes and makes me log in multiple times. fix it!",2025-05-23,1
go pound sand 😤,2025-05-22,1
this new update logged me out and now I can't get back in. figures it happens right as im dealing with an accident.,2025-05-22,1
with the most recent update I can't even use the app because of how old my phone is. thanks.,2025-05-22,1
far too expensive....will be shopping for insurance.,2025-05-21,1
Poor customer service.,2025-05-21,1
won't let me schedule and doesn't respond to me,2025-05-21,1
App is useless for claims process. you cannot upload photos and you cannot message your adjuster through the app despite it saying you can. when you click the message your adjuster button it simply redirects you to the homepage.,2025-05-21,1
it doesn't show correct information or work well when you call in,2025-05-21,1
poor,2025-05-20,1
"Constant maintenance, technical issues, and customer service doesn't seem to exist with NEW President. Lacking a brick n' mortar, USAA has made it very difficult to bank here via their App. I'd seek elsewhere for peace of mind!",2025-05-20,1
This app and USAA are awful.,2025-05-19,1
app is buggy and USAA doesn't care,2025-05-19,1
doesn't work on grapheneos,2025-05-19,1
"The customer service is horrible. After they raised my monthly payment by $150, I tried canceling my coverage. They asked me for a4 digit pin which I never used. I attempted the change my pin on the app and they instructed me to call customer service. Customer service then told me I could only change my pin if I provide them with my current pin. I spoke to 3 representatives and neither of them was able to assist me and they told me I could not cancel my coverage.",2025-05-19,1
stop asking me to review,2025-05-19,1
the app has trouble loading after the login screen and loops back to re-login on a continuous loop.,2025-05-19,1
USAA keeps changing the app and the location of items (layout of it's app). It is very annoying. USAA has gone down hill the last 10 plus years. This is coming from a 20+ year member.,2025-05-18,1
"this mobil app is no good can not get on it, and there is no place where i can deposit my check",2025-05-18,1
I tried to recover my password and online ID with the text link and never got anything. I had to figure out my login because your app wouldn't send me the info even though I had all my info right. Luckily I remembered what both were after some time. Tried two different days to get it to work. Also lucky I still had another device with my info saved.,2025-05-17,1
The app keeps requesting updates and is always down for maintenence when you need to transfer.,2025-05-17,1
"Woman with no licence hits me. her insurance...geico...says they cant get in contact with her, so they're denying responsibility. usaa, my insurance, tells me because of that, i need to pay for my own repair",2025-05-16,1
why is this no longer compatible with my device? this was the only method I had to deposit my payments by check.,2025-05-16,1
constantly not loading pages,2025-05-16,1
Not Happy With USAA bills are always high no matter what you do so pretty much you have to get the lowest insurance possible in order to afford the insurance and make your payments on time thumbs down 👎🏽,2025-05-16,1
terrible insurance. terrible banking.,2025-05-16,1
"I've had so much trouble with my accounts, on one occasion my account was taken over by an outside entity, and my accounts were cleaned out. Usaa never paid back",2025-05-16,1
It keeps asking me to review and I hate that. One star.,2025-05-15,1
This app is the worst thing about USAA. Why can't I just log on and use an authentication code like most secure apps. Seem like some moron wants to reinvent the wheel with some twisted sequence of switcharoos to keep you confused. good thing the web page is still normal.,2025-05-15,1
Horrible app,2025-05-15,1
App is unstable on my device as it constantly reloads. I can't use the app at all.,2025-05-15,1
"Severely unreliable. Change land lord and address for renter insurance doesnt work; after I plug in all the information over and over then submit, it just goes sorry, but no.",2025-05-14,1
This app is so unreliable it is downright terrifying. I would love to know why my security settings change every 15 minutes??? It is 12:30 in the afternoon and I have already had to allow permissions for my widget 8 times (A issue that has been going on with the widget for a year and a 1/2 now and you refuse to fix it) and reset my biometrics 3 times. Your system is not secure. I'm moving all my money to Chase. Venmo is more secure than this! I'm done!!,2025-05-14,1
"Big company with a horrible LOW end web site and app. Incompetence; NOT having the ability to pay personal and business accounts separately. USAA charges a fee for something the customer CAN'T do because BUSINESS funds require separation. The customer also doesn't get the discounts they FASLELY advertise. USAA constantly contacts YOU (emails, mail) to ADD stuff for your business then charges fees. USAA wants paperless but mails a million flyers.",2025-05-14,1
not worth the money,2025-05-14,1
I am very disappointed with customer service regarding my auto policy. I made a change to my policy based on information given and when I placed a claim I am told a higher deductible. very disappointed.,2025-05-14,1
"all types of problems, such as holding funds and blocking your card for fraudulent activity and then you have to listen to every transaction for the last two weeks as the agents PAINFULLY reads them out slowly despite promising it'll be quick",2025-05-13,1
doesn't like to load and too much hassle inorder to get intouch with the website,2025-05-13,1
Much too expensive. No longer pleasant to work with.,2025-05-13,1
slow. things don't work,2025-05-13,1
"Your app sucks. No longer and hasn't been user-friendly for some time now. If you're in the negative (owe money), it should show in red and a negative with it when you open the current balance and not blue",2025-05-13,1
used to be good but not now,2025-05-13,1
app not working,2025-05-13,1
purchases used to show immediately on the app but now it takes days. seems like the quality has gone down a lot,2025-05-13,1
"I have had this app for years, now when it says to update, it says not compatible with my phone. why did you change the app, now it's useless and won't let me login.",2025-05-13,1
"The updates essentially brick the device until you comply. Not cool. Update 12.11 24 they just disabled my device app all together now. Was working fine, but now not working at all. This is ridiculous and should be illegal. I paid for this service in one way or another. They should be made to account. 5.13.25 another update! this is honestly on purpose. taking your personal info and then getting ""hacked"". stop it or I'll get another bank",2025-05-13,1
"After 50+ years of being a loyal customer, paying excessive policy increases every year over the past 15 years, USAA is not interested in member loyalty or member satisfaction. Truly a disgrace.",2025-05-12,1
can't make insurance application work.,2025-05-11,1
They suck.,2025-05-11,1
hard to navigate,2025-05-11,1
app is glitching,2025-05-11,1
