Review,Date,Stars
"Dropping support for older phones, for a banking app, is kind of a lame move, in my opinion, you're making the assumption everyone can afford new phones with new operating systems. Is US Bank gonna buy me a new phone?",2025-05-23,1
the bank screwed me,2025-05-22,1
always non responsive,2025-05-21,1
I never know how much money I have because I get manipulated every week even if I wait for pending transactions I don't recommend,2025-05-21,1
Horrible app. The only app I have problems with. It takes multiple tries to mobile deposit as it kicks me out to the login screen. I can't run into the bank as you shut them all down and the closest one is over 30 minutes away. With no local banks the least you could do is make sure your app is good.,2025-05-20,1
Check Deposit feature does not work properly. Every Deposit is an absolute struggle!,2025-05-20,1
commands like turning on alerts don't work,2025-05-20,1
absolutely the worst customer service/ fraud department I have ever dealt with,2025-05-20,1
"has anyone else been having issues with the mobile deposit. this is my 2nd week with the ""there's a problem on our end try again later"" been like this since the last update",2025-05-19,1
"I really only use this app to do mobile deposits and it does an awful job at it. When you try to take a picture of the check to deposit it just says, ""too bright"" so i turn off the flash and it still says too bright. Then it says, ""hold steady"" so I put my phone on a tripod and it still says, ""hold steady"". Then finally I click the option where you can take a picture yourself and it says, ""success"" but then it logs me out and I have to start the whole process all over again. Take 30+ tries total",2025-05-19,1
"we're sorry this doesn't work... we're sorry that doesn't work... we're sorry... this ""bank"" is terrible.",2025-05-19,1
"Way too many clicks to do basic stuff like deposit a check. Clunky. And asks me twice if I really want to do stuff. Yes and yes. App needs work. they keep updating it, but unfortunately it just doesn't get any better. while there's been a lot of changes and improvements, there's still a lot of problems with the app, especially using zelle on the mobile app. when using memos, there are certain characters you can't use and it's different between the web app experience and the mobile app experience",2025-05-19,1
don't like adds placed over the area needed to access,2025-05-19,1
Whoever decided to enable ad notifications for your terrible services within the app deserves a papercut,2025-05-19,1
Spent an hour trying to deposit a check but it couldn't pick up the endorsement signature. I took photos over and over again with differing backgrounds and light to no avail. Awesome,2025-05-18,1
"nothing but problems!! First it wouldn't let me make an account (already had my card). Now it won't let me transfer my funds into my main account. It's pretty much useless. i can't even enable notifications without getting the ""there was a problem"" message. Keeps saying problem is on their end so at least they know they're useless.",2025-05-18,1
In literal darkness tells me it's too bright for my check,2025-05-18,1
"High friction interfaces, inflexible policies, generally backwards approach to customer service and security (wanting customers meet the banks needs rather than meeting customers needs)(app does not work with bitwarden, no login has authenticator capabilities).",2025-05-18,1
"Used to be a good app, but lately it constantly freezes and I can't do anything with it.",2025-05-17,1
this bank is awful. I've had more problems in the 2 weeks that I've been with them than I have any other bank ever.,2025-05-17,1
horrible,2025-05-17,1
I keep having to uninstall and reinstall the app to get it to work.,2025-05-16,1
it only works about half the time you need it to.,2025-05-16,1
absolutely garbage. was declined with money on the card because of a transaction limit....shouldn't work that way. if I have money I should be able to spend it any way I'd like!,2025-05-15,1
limited DEPOSIT allowance per week,2025-05-15,1
Great app. Very convenient. UPDATE.... This app has turned to garbage. mobile deposit takes half the night to get the pictures taken and submitted... because the app keeps forcing back to the login screen.,2025-05-15,1
"beware of mobile deposit. Tried to deposit a check from capital 1 and it was deducted from my account for the reason of NSF. lol. The banks work together to scam us. How does capitalone not have less than $15 in their account? I attempted an investigation from both parties, the result is USBANK and Capitalone both double down on pointing the finger at each other. I lost about a days worth of work attempting to straighten this out.",2025-05-15,1
Completely unusable.,2025-05-14,1
CANNOT ACTIVATE CARD CANNOT GET CUSTOMER SERVICE BY PHONE OR APP!!!!,2025-05-14,1
worst. bank. ever.,2025-05-14,1
