Review,Date,Stars
Android has a terrible app that is constantly down and unavailable resulting in multiple login attempts. i do not recommend Wells Fargo on account of their app,2025-05-23,1
no real service,2025-05-23,1
Wells closed a 10yr account tied to our whole lives because of a typo on a hidden address unknown to us. Will take 3 months to get retirement checks going to new bank.,2025-05-22,1
terrible bank. never use this bank.,2025-05-22,1
took to long,2025-05-22,1
Horrific,2025-05-21,1
won't change ph# can't get text,2025-05-21,1
trash bank,2025-05-21,1
Tried to download the app again. Message says the Wells Fargo app is not compatible with my phone anymore. Why? It always has been until several months ago. Sure makes it harder to bank online. App needs maintenance!,2025-05-20,1
stupid app. the AI is dumber.,2025-05-20,1
"used 90000 points to get account credit. credit never applied. used app to get support, it is useless and just sends me to re-login to my rewards. requested to speak to an actual rep and it errors out and just says please try again later.",2025-05-20,1
fire your user interface guy. replacing color coded pending transactions with all dark emboldened characters on a mobile app is stupid.,2025-05-20,1
do not sell my information!,2025-05-20,1
directions are different every time,2025-05-20,1
"difficult to access account, no one answering calls on weekend. I have enough $$$$$$$ ,- I should be able 2 get access! So my tough luck I have wells not schwab brokerage!!!🙄",2025-05-18,1
2 hours trying to set it up,2025-05-18,1
"App developers willfully told anyone with an Android 9 that Wells doesn't want our business. When the app worked on 9 it was awesome. Now I have no online banking. Not spending 4 to 800 bucks on a new phone for ""new features"" I'm not interested in.",2025-05-16,1
"horrid company. Still uterly useless for doing anything than other than looking at your balances. 2020 update still 1 star. 2017 - Consistently terrible, for years. They still don't get the basics",2025-05-16,1
"I'm really disappointed that I wasn't able to Zelle or Transfer money without calling customer service. And then my account got restricted so I no longer have access. If Wells Fargo is an international bank, they must make sure that their customers( out of U.S.) can access their money, no matter where they are.",2025-05-16,1
"Depressing, and piss poor at customer back up. I'm disabled on fixed income & under id theft attacks off and on over 2 years. I am the victim of a crime not the perpetrator. Then why when i report something that only needs proactive action like new account number. You throw me out as a customer??? Grow a backbone or get out of banking, because the ones committing frauds, Don't need to get data from the vic. They can buy any data they want & get past all security's. Join the wimps at Chase.",2025-05-13,1
worst bank in history! After being approved for an active cash card and using it continuously with on time payments it was cancelled because supposedly I didn't give them my address information. I never received so much as a message to verify my information! p.s. the app is slow 👎,2025-05-13,1
it never sent a code...I have tried several times over the last few months with no success.,2025-05-13,1
won't let make a payment,2025-05-12,1
took 4 tries,2025-05-12,1
just wanted to get my rewards and this is a lot of work did not want an app for banking only rewards program.,2025-05-12,1
"This bank had me locked out my account for weeks as they investigated a fraud claim where I lost all of my savings by theft from a scam. As I was locked out they were charging daily interest. I closed all of my accounts paid the debt and still they sent me a bill on interest on a closed account. They keep you on hold forever, seemingly hoping you will give up, and I have small children it's really a waste of time. (they denied my claim) Run from them.",2025-05-12,1
terrible when trying to deposit check,2025-05-11,1
"Just a terrible outdated banking application. The capital one banking app and chase banking app actually function when you have multiple accounts this app limits you to one account per user i guess ( been told you can do multiple but no one knows how) Just has simple basic functions needs to be updated and brought into the year 2025 very, very badly, virtually useless",2025-05-11,1
account balance isn't accurate,2025-05-10,1
don't like doing reveiws,2025-05-09,1
"since wells Fargo updated their mobile app it will no longer work with a lot of older android phone's, so either go out and buy a new phone or find a better Bank? I believe I'll go look for a better Bank",2025-05-09,1
Mobile deposit takes 10+ tries for success. Worst mobile deposit app I've ever used.,2025-05-09,1
"Unable to remove Zelle recipient. ""Delete"" button is not functional.",2025-05-09,1
App can longer read front of checks with latest update. doesn't matter if it's a printed check or written check. It can't read the front since the latest update. Making mobile deposits impossible. Reads the back with endorsement just fine. Edit: Even with today's update. Doesn't read front of checks. That's two updates in a row where front of checks can't be captured with mobile deposit. Back of check still works. Useless for mobile deposit as it is. Pixel 9 Pro XL.,2025-05-09,1
"Disappointed by Treatment During Financial Hardship I’ve been a long-time customer of Wells Fargo, but I was deeply disappointed by how I was treated during a recent period of financial hardship. While my family and I were struggling for three months, the bank placed a week-long hold on my paycheck and closed my credit card account without warning. At a time when I needed support and flexibility the most, Wells Fargo failed to have my back. I expected more from an institution I’ve trusted.",2025-05-09,1
security is so high that even call center team isn't able to override to do basic functions like transfers,2025-05-08,1
Every time I sign in with Face ID the log in page goes to an error page saying THERE IS A PROBLEM ON OUR END. Fix your app please,2025-05-08,1
"No longer supported on my device. Very tempting to switch banks at this point, considering how expensive a phone will be every time my current one is obsoleted... And you can deposit thru a browser either.",2025-05-08,1
$10/mo for a checking account. ridiculous,2025-05-08,1
The worst bank I've ever encountered👎🏾,2025-05-08,1
honestly I don't like it because people on the system acting like they care what each other makes with their own money. and always playing like they are hackers and no one don't know but unfortunately I know much more than they think. I know people are manipulating my phone and spying on me everyday 24/7 and put me on YouTube. Facebook.. Instagram.. ticktock.. I don't what they really want it. that's why I don't trust any bank ir many other companies if not in person I don't trust the system,2025-05-08,1
"Constantly blocking my online wire transfers, so I have to go into the bank and wait an hour to pay more for a transfer. I need a new bank",2025-05-07,1
keeps crashing,2025-05-07,1
anytime I try to do something online and never works ever 😔,2025-05-07,1
I truly hate this bank. Can't wait to switch to a regional credit union.,2025-05-07,1
Says my device is no longer supported. A whole segment of Wells Fargo's customer base just lost their mobile banking.,2025-05-07,1
"Can not make a payment already for 5 days!!! There is wishes circle: upgrade app, verify it is you , app will be upgraded soon. Nothing happening . All from the beginning!!!",2025-05-06,1
Does not support Android 9.,2025-05-06,1
Don't do Bank to Bank transfer with Wells Fargo. Because they send you a response saying it will be in your account on a certain day. But they don't tell you until you call it has from 8am until 11:59 pm to be in the account. So it's better to take it out of the other bank account and put it in Wells Fargo account if you can. Or take it out of Wells Fargo account and put it into the other bank account if you can. Don't do Bank to Bank transfers.,2025-05-06,1
I can't even log in. The log in screen is so overlapped that it won't allow me to click the sign in button.,2025-05-06,1
"Wells Fargo is almost as bad as bank of america! Look up ""Fractal Banking"". 90% of any unpaid loan can be credited as a new loan, and then 90% of that loaned, and so on... It's fake/free money and they still have the audacity to charge banking fees for using your money to invest!? LMAO!",2025-05-06,1
i haven't gotten paid. i usually get paid at 3-4 pm on Tuesdays. it is currently 9p.m. do you know how bad this screwed me??????? been with this company almost a decade. im about to close my account. you are seriously messing with people's lives here...,2025-05-06,1
"if that stupid ai assistant doesn't go away, I'm changing banks.",2025-05-06,1
"The worst app that's out there. They banned me for a crypto purchase. Don't listen to them under my review talking about ""we're sorry to hear"". Nah, no your not. I've tried many times to get my account back and they always lead me to the same evil person that got me banned in the first place. Evil place. Loved the card itself. I still have it. Update: Wellsfargo owes me money!",2025-05-05,1
"worst bank, 8 days to deposit a check",2025-05-05,1
Been using it for a while then all of a sudden says app is no longer compatible with your phone anymore.,2025-05-04,1
they litreally stole money from me after they accidentally put $200k in my account. when i reported the mistake they locked my account for 4 months and reset it to zero dollers even though i had almost $5k before their mistake and told me id have to take them to court if i disagreed with their investigation. literally a criminal org.,2025-05-04,1
"Too many updates! Takes up alot of storage space, for minor changes!!!",2025-05-03,1
"placed a hold on my check. I dont go through banks that place holds, will be closing the account.",2025-05-03,1
I put in my correct social security number and my date of birth and it still won't let me create an account. Thanks for taking my information and not doing anything for me wells. zero stars if I could,2025-05-03,1
unable to use the app with my android that is ridiculous,2025-05-03,1
Latest update makes this app very difficult to use. 11 minutes to get code for two-step verification is inexcusable for a banking app.,2025-05-03,1
this app is terrible,2025-05-03,1
useless,2025-05-03,1
always hold my deposits to cause overdraft...,2025-05-01,1
don't sign up when they offer you a $200 promotion. they move heaven and earth not to give it to you. all you have to do is spend a certain amount in a certain amount of days which I did in half the time. they investigate it to see if you have earned it and never call you back. also you can only make a certain amount of payments each month online.,2025-05-01,1
trying to open up a checking account,2025-05-01,1
the new update is the worst one yet. everything is completely out of order it's harder to log in and it does not show what's pending and what's available to use anymore.,2025-04-30,1
"There is nothing special about this bank. To be honest, their fees are the same as every other bank, and customer support is equally as underwhelming. In my opinion, if you are thinking of swapping banks I would not go to Wells Fargo it will just be more of the same.",2025-04-30,1
you have my business WHY DO YOU SEND ME ADS I DONT LIKE IT !,2025-04-30,1
lowered my limit which directly lowered my credit score paid off cut up go Fargo yourself,2025-04-29,1
