Review,Date,Stars,Cleaned Reviews,neg,neu,pos,compound,vader_label,star_sentiments
"got first advance paid back,24hrs later can't advance me goodbye Cleo your a piece of 💩 app",2025-06-12,1,get first advance pay later advance goodbye Cleo piece app,0.0,1.0,0.0,0.0,neutral,0
Took 14.99 from me. they won't let me use all the money on my card through a transaction nor through ATM withdrawal,2025-06-12,1,take let use money card transaction ATM withdrawal,0.051,0.949,0.0,-0.0191,neutral,0
horrible experience,2025-06-12,1,horrible experience,0.778,0.222,0.0,-0.5423,negative,0
you know you guys are scam you are for a cash advance but only if I subscribe to some plan to give you guys money to pay for that plan but why would I need a cash advance if I had money to pay for a plan the plan costs more than what an advanced you would give me would be,2025-06-12,1,know guy scam cash advance subscribe plan give guy money pay plan would need cash advance money pay plan plan cost advanced would give would,0.094,0.864,0.042,-0.2617,negative,0
they take out unexplained fees over and over and claim it's partial repayment even though they take it way before due date and they never deduct what they take from the balance and there's no way to contact them other than the useless AI chat bot that doesn't understand anything and answers no questions and keeps telling you to contact customer support when the bot is the only customer support they have,2025-06-12,1,take unexplained fee claim partial repayment even though take way due date never deduct take balance way contact useless chat bot understand anything answer question keep tell contact customer support bot customer support,0.09,0.842,0.068,-0.2023,negative,0
it's broke and won't work what's wrong with it,2025-06-11,1,broke work wrong,0.227,0.567,0.207,-0.0634,negative,0
not worth it. too many problems,2025-06-11,1,worth many problem,0.522,0.478,0.0,-0.5213,negative,0
The app makes you sign up for a monthly service and charges you before you find out if you are eligible for a cash advance...only to deny the request for money.,2025-06-11,1,app make sign monthly service charge find eligible cash advance deny request money,0.143,0.857,0.0,-0.5423,negative,0
you might as well not get this app. I've been trying for like 30 mins now to figure out why I owe a statement balance when all I've been doing is using the cash advance portion and paying it off and now its saying I owe over 200 dollars and there's nothing I can find that says why like if the card i was using was actually a credit card me thinking oh its just a card for the account like the digital card to get the advance. I closed my account.,2025-06-11,1,might well get app try like min figure owe statement balance use cash advance portion pay saying owe dollar nothing find say like card use actually credit card think card account like digital card get advance close account,0.0,0.866,0.134,0.8807,positive,0
"App had a nasty way of communicating. I did a lot of work to get passive aggressive douche bags out of my life so when an app does it, hell no. These people are the worst.",2025-06-11,1,App nasty way communicating lot work get passive aggressive douche bag life app hell people bad,0.401,0.56,0.039,-0.9501,negative,0
Says I'm eligible for an advance but an error message constantly pops up. Complete waste of 25 mins signing up.,2025-06-11,1,say eligible advance error message constantly pop complete waste min sign,0.287,0.713,0.0,-0.8047,negative,0
just try and get customer support.... you won't,2025-06-11,1,try get customer support,0.0,1.0,0.0,0.0,neutral,0
I proceeded to sign up and go to get a $40 cash advance. but it says I couldn't do it at this time after it said I could get it a few times. but when I finally went to confirm it it said something went wrong and I couldn't get it at this time. when I go to delete my account it says I have to make repayments. so at this time I can't unsubscribe or delete my account and I haven't even taken anything from Cleo!,2025-06-11,1,proceed sign get cash advance say could time say could get time finally go confirm say something go wrong could get time delete account say make repayment time unsubscribe delete account even take anything Cleo,0.056,0.944,0.0,-0.6643,negative,0
POS don't work and won't let me cancel do not get,2025-06-11,1,POS work let cancel get,0.0,0.852,0.148,0.1877,positive,0
"HORRIBLE!!!! Take hidden fees constantly and don't even show why, and I didn't agree too. even when I tried to find out why they said oh well pretty much",2025-06-11,1,HORRIBLE take hidden fee constantly even show agree even try find say well pretty much,0.065,0.737,0.199,0.6551,positive,0
constantly sends bs notifications,2025-06-11,1,constantly send notification,0.0,1.0,0.0,0.0,neutral,0
